f,ph
1.769020e+00,-3.933011e+01
1.776471e+00,-3.958334e+01
1.783922e+00,-3.983771e+01
1.791373e+00,-4.009321e+01
1.798824e+00,-4.034984e+01
1.806275e+00,-4.060762e+01
1.813725e+00,-4.086654e+01
1.821176e+00,-4.112662e+01
1.828627e+00,-4.138784e+01
1.836078e+00,-4.165022e+01
1.843529e+00,-4.191375e+01
1.850980e+00,-4.217845e+01
1.858431e+00,-4.244431e+01
1.865882e+00,-4.271134e+01
1.873333e+00,-4.297953e+01
1.880784e+00,-4.324889e+01
1.888235e+00,-4.351943e+01
1.895686e+00,-4.379114e+01
1.903137e+00,-4.406402e+01
1.910588e+00,-4.433809e+01
1.918039e+00,-4.461333e+01
1.925490e+00,-4.488975e+01
1.932941e+00,-4.516735e+01
1.940392e+00,-4.544614e+01
1.947843e+00,-4.572610e+01
1.955294e+00,-4.600725e+01
1.962745e+00,-4.628958e+01
1.970196e+00,-4.657309e+01
1.977647e+00,-4.685779e+01
1.985098e+00,-4.714366e+01
1.992549e+00,-4.743072e+01
2.000000e+00,-4.771896e+01
