t,spd
1.001387e+00,1.001284e+00
9.993701e-01,9.999822e-01
9.997686e-01,9.997622e-01
1.000055e+00,9.999475e-01
9.000000e-01,1.002168e+00
1.001598e+00,1.001582e+00
1.001542e+00,1.001592e+00
1.001510e+00,1.001470e+00
1.001418e+00,1.001403e+00
1.000965e+00,9.996558e-01
9.999833e-01,9.997942e-01
9.997527e-01,9.999939e-01
9.999424e-01,9.500000e-01
1.002078e+00,1.001571e+00
1.001561e+00,1.001467e+00
1.001471e+00,1.001439e+00
1.001380e+00,1.001755e+00
1.001436e+00,1.000519e+00
1.000030e+00,9.999687e-01
9.998276e-01,9.997524e-01
9.999298e-01,9.999383e-01
1.000000e+00,1.001901e+00
1.001552e+00,1.001546e+00
1.001410e+00,1.001373e+00
1.001397e+00,1.001317e+00
1.002051e+00,1.001481e+00
1.000062e+00,1.000323e+00
9.999477e-01,9.998670e-01
9.997598e-01,9.998659e-01
9.999346e-01,1.050000e+00
1.001690e+00,1.001537e+00
1.001535e+00,1.001373e+00
1.001305e+00,1.001379e+00
1.001291e+00,1.002209e+00
1.001526e+00,9.996807e-01
1.000433e+00,9.999281e-01
9.999100e-01,9.997733e-01
9.998053e-01,9.999307e-01
1.100000e+00,1.001489e+00
1.001523e+00,1.001522e+00
1.001353e+00,1.001269e+00
1.001379e+00,1.001305e+00
1.002179e+00,1.001561e+00
9.994262e-01,1.000346e+00
9.999148e-01,9.999529e-01
9.997905e-01,9.997505e-01
9.999260e-01,1.150000e+00
1.001327e+00,1.001504e+00
1.001504e+00,1.001346e+00
1.001263e+00,1.001387e+00
1.001353e+00,1.001963e+00
1.001576e+00,9.993130e-01
1.000127e+00,9.999092e-01
9.999916e-01,9.998093e-01
9.997037e-01,9.999196e-01
1.200000e+00,1.001211e+00
1.001478e+00,1.001477e+00
1.001346e+00,1.001277e+00
1.001395e+00,1.001419e+00
1.001614e+00,1.001562e+00
9.993266e-01,9.998750e-01
9.999110e-01,1.000022e+00
9.998273e-01,9.996667e-01
9.999108e-01,1.250000e+00
1.001138e+00,1.001442e+00
1.001441e+00,1.001347e+00
1.001302e+00,1.001397e+00
