f_sv,SVmp,SV
2.814812e-01,1.358876e+00,2.146002e+00
2.840884e-01,1.364102e+00,2.148275e+00
2.867196e-01,1.369472e+00,2.150612e+00
2.893753e-01,1.374993e+00,2.153014e+00
2.920556e-01,1.380670e+00,2.155481e+00
2.947606e-01,1.386509e+00,2.158012e+00
2.974908e-01,1.392516e+00,2.160608e+00
3.002462e-01,1.398698e+00,2.163266e+00
3.030271e-01,1.405061e+00,2.165986e+00
3.058338e-01,1.411613e+00,2.168767e+00
3.086665e-01,1.418361e+00,2.171608e+00
3.115254e-01,1.425312e+00,2.174505e+00
3.144108e-01,1.432474e+00,2.177457e+00
3.173230e-01,1.439854e+00,2.180461e+00
3.202621e-01,1.447463e+00,2.183513e+00
3.232284e-01,1.455307e+00,2.186611e+00
3.262222e-01,1.463397e+00,2.189749e+00
3.292437e-01,1.471741e+00,2.192923e+00
3.322933e-01,1.480349e+00,2.196128e+00
3.353710e-01,1.489231e+00,2.199359e+00
3.384773e-01,1.498398e+00,2.202610e+00
3.416123e-01,1.507861e+00,2.205875e+00
3.447764e-01,1.517631e+00,2.209147e+00
3.479698e-01,1.527720e+00,2.212420e+00
3.511928e-01,1.538141e+00,2.215687e+00
3.544456e-01,1.548906e+00,2.218940e+00
3.577285e-01,1.560030e+00,2.222172e+00
3.610419e-01,1.571526e+00,2.225376e+00
3.643859e-01,1.583409e+00,2.228545e+00
3.677609e-01,1.595696e+00,2.231670e+00
3.711672e-01,1.608402e+00,2.234744e+00
3.746050e-01,1.621545e+00,2.237760e+00
3.780747e-01,1.635142e+00,2.240710e+00
3.815765e-01,1.649213e+00,2.243587e+00
3.851107e-01,1.663775e+00,2.246384e+00
3.886777e-01,1.678850e+00,2.249093e+00
3.922777e-01,1.694458e+00,2.251708e+00
3.959110e-01,1.710621e+00,2.254222e+00
3.995780e-01,1.727359e+00,2.256628e+00
4.032790e-01,1.744696e+00,2.258922e+00
4.070142e-01,1.762652e+00,2.261096e+00
4.107841e-01,1.781250e+00,2.263146e+00
4.145888e-01,1.800511e+00,2.265067e+00
4.184289e-01,1.820455e+00,2.266853e+00
4.223044e-01,1.841101e+00,2.268501e+00
4.262159e-01,1.862465e+00,2.270006e+00
4.301636e-01,1.884558e+00,2.271366e+00
4.341478e-01,1.907389e+00,2.272579e+00
4.381690e-01,1.930960e+00,2.273641e+00
4.422274e-01,1.955265e+00,2.274552e+00
4.463234e-01,1.980287e+00,2.275311e+00
4.504573e-01,2.005997e+00,2.275920e+00
4.546295e-01,2.032352e+00,2.276378e+00
4.588404e-01,2.059285e+00,2.276689e+00
4.630903e-01,2.086711e+00,2.276857e+00
4.673795e-01,2.114514e+00,2.276887e+00
4.717085e-01,2.142543e+00,2.276785e+00
4.760775e-01,2.170613e+00,2.276561e+00
4.804870e-01,2.198492e+00,2.276224e+00
4.849374e-01,2.225902e+00,2.275786e+00
4.894290e-01,2.252515e+00,2.275263e+00
4.939622e-01,2.277948e+00,2.274671e+00
4.985373e-01,2.301773e+00,2.274029e+00
5.031549e-01,2.323519e+00,2.273359e+00
5.078152e-01,2.342685e+00,2.272684e+00
5.125187e-01,2.358763e+00,2.272031e+00
5.172657e-01,2.371265e+00,2.271428e+00
5.220568e-01,2.379750e+00,2.270902e+00
5.268921e-01,2.383868e+00,2.270483e+00
5.317723e-01,2.383391e+00,2.270201e+00
5.366977e-01,2.378250e+00,2.270081e+00
5.416687e-01,2.368551e+00,2.270147e+00
5.466857e-01,2.354590e+00,2.270419e+00
5.517492e-01,2.336840e+00,2.270908e+00
5.568596e-01,2.315929e+00,2.271618e+00
5.620174e-01,2.292602e+00,2.272545e+00
5.672229e-01,2.267671e+00,2.273671e+00
5.724766e-01,2.241971e+00,2.274972e+00
5.777790e-01,2.216310e+00,2.276408e+00
5.831305e-01,2.191434e+00,2.277933e+00
5.885316e-01,2.167996e+00,2.279492e+00
5.939827e-01,2.146544e+00,2.281023e+00
5.994843e-01,2.127510e+00,2.282462e+00
6.050368e-01,2.111216e+00,2.283746e+00
6.106408e-01,2.097881e+00,2.284812e+00
6.162966e-01,2.087632e+00,2.285604e+00
6.220049e-01,2.080522e+00,2.286072e+00
6.277660e-01,2.076539e+00,2.286176e+00
6.335805e-01,2.075626e+00,2.285883e+00
6.394488e-01,2.077692e+00,2.285171e+00
6.453715e-01,2.082617e+00,2.284025e+00
6.513491e-01,2.090271e+00,2.282441e+00
6.573820e-01,2.100512e+00,2.280418e+00
6.634708e-01,2.113195e+00,2.277965e+00
6.696160e-01,2.128179e+00,2.275092e+00
6.758181e-01,2.145323e+00,2.271815e+00
6.820777e-01,2.164494e+00,2.268152e+00
6.883952e-01,2.185563e+00,2.264122e+00
6.947713e-01,2.208409e+00,2.259746e+00
7.012064e-01,2.232917e+00,2.255045e+00
7.077011e-01,2.258978e+00,2.250040e+00
7.142559e-01,2.286487e+00,2.244751e+00
7.208715e-01,2.315343e+00,2.239198e+00
7.275484e-01,2.345448e+00,2.233400e+00
7.342870e-01,2.376705e+00,2.227375e+00
7.410882e-01,2.409016e+00,2.221141e+00
7.479523e-01,2.442282e+00,2.214715e+00
