f,gc1,pc1,gc2,pc2
2.445512e+01,-6.915544e+01,3.152252e+01,-1.192210e+02,1.166565e+02
2.522598e+01,-6.964397e+01,3.196622e+01,-1.199823e+02,1.172475e+02
2.599685e+01,-7.011574e+01,3.241595e+01,-1.207185e+02,1.178359e+02
2.676772e+01,-7.057169e+01,3.287052e+01,-1.214310e+02,1.184212e+02
2.753858e+01,-7.101270e+01,3.332889e+01,-1.221211e+02,1.190031e+02
2.830945e+01,-7.143955e+01,3.379014e+01,-1.227900e+02,1.195813e+02
2.908031e+01,-7.185298e+01,3.425344e+01,-1.234389e+02,1.201553e+02
2.985118e+01,-7.225368e+01,3.471805e+01,-1.240688e+02,1.207250e+02
3.062205e+01,-7.264228e+01,3.518331e+01,-1.246807e+02,1.212902e+02
3.139291e+01,-7.301936e+01,3.564862e+01,-1.252754e+02,1.218505e+02
3.216378e+01,-7.338548e+01,3.611345e+01,-1.258538e+02,1.224058e+02
3.293465e+01,-7.374115e+01,3.657733e+01,-1.264166e+02,1.229560e+02
3.370551e+01,-7.408684e+01,3.703982e+01,-1.269646e+02,1.235008e+02
3.447638e+01,-7.442301e+01,3.750056e+01,-1.274985e+02,1.240403e+02
3.524724e+01,-7.475007e+01,3.795918e+01,-1.280188e+02,1.245742e+02
3.601811e+01,-7.506843e+01,3.841540e+01,-1.285262e+02,1.251025e+02
3.678898e+01,-7.537845e+01,3.886892e+01,-1.290212e+02,1.256252e+02
3.755984e+01,-7.568048e+01,3.931952e+01,-1.295043e+02,1.261420e+02
3.833071e+01,-7.597485e+01,3.976696e+01,-1.299760e+02,1.266531e+02
3.910157e+01,-7.626188e+01,4.021106e+01,-1.304369e+02,1.271584e+02
3.987244e+01,-7.654185e+01,4.065164e+01,-1.308872e+02,1.276577e+02
4.064331e+01,-7.681505e+01,4.108855e+01,-1.313275e+02,1.281512e+02
4.141417e+01,-7.708174e+01,4.152167e+01,-1.317581e+02,1.286388e+02
4.218504e+01,-7.734216e+01,4.195086e+01,-1.321794e+02,1.291205e+02
4.295591e+01,-7.759656e+01,4.237603e+01,-1.325918e+02,1.295963e+02
4.372677e+01,-7.784516e+01,4.279710e+01,-1.329955e+02,1.300662e+02
4.449764e+01,-7.808817e+01,4.321398e+01,-1.333909e+02,1.305303e+02
4.526850e+01,-7.832580e+01,4.362662e+01,-1.337782e+02,1.309885e+02
4.603937e+01,-7.855823e+01,4.403495e+01,-1.341579e+02,1.314408e+02
4.681024e+01,-7.878566e+01,4.443895e+01,-1.345300e+02,1.318874e+02
4.758110e+01,-7.900826e+01,4.483857e+01,-1.348950e+02,1.323283e+02
4.835197e+01,-7.922619e+01,4.523379e+01,-1.352529e+02,1.327634e+02
4.912283e+01,-7.943961e+01,4.562458e+01,-1.356042e+02,1.331929e+02
4.989370e+01,-7.964869e+01,4.601095e+01,-1.359489e+02,1.336167e+02
5.066457e+01,-7.985355e+01,4.639288e+01,-1.362874e+02,1.340350e+02
5.143543e+01,-8.005435e+01,4.677037e+01,-1.366197e+02,1.344477e+02
5.220630e+01,-8.025121e+01,4.714343e+01,-1.369461e+02,1.348550e+02
5.297717e+01,-8.044426e+01,4.751207e+01,-1.372668e+02,1.352569e+02
5.374803e+01,-8.063362e+01,4.787631e+01,-1.375820e+02,1.356534e+02
5.451890e+01,-8.081941e+01,4.823615e+01,-1.378918e+02,1.360446e+02
5.528976e+01,-8.100175e+01,4.859163e+01,-1.381964e+02,1.364306e+02
5.606063e+01,-8.118073e+01,4.894277e+01,-1.384959e+02,1.368114e+02
5.683150e+01,-8.135647e+01,4.928959e+01,-1.387906e+02,1.371870e+02
5.760236e+01,-8.152905e+01,4.963213e+01,-1.390805e+02,1.375577e+02
5.837323e+01,-8.169858e+01,4.997042e+01,-1.393657e+02,1.379233e+02
5.914409e+01,-8.186515e+01,5.030449e+01,-1.396465e+02,1.382840e+02
5.991496e+01,-8.202884e+01,5.063439e+01,-1.399229e+02,1.386399e+02
6.068583e+01,-8.218973e+01,5.096015e+01,-1.401950e+02,1.389909e+02
6.145669e+01,-8.234792e+01,5.128181e+01,-1.404631e+02,1.393372e+02
6.222756e+01,-8.250347e+01,5.159941e+01,-1.407271e+02,1.396789e+02
6.299843e+01,-8.265646e+01,5.191299e+01,-1.409873e+02,1.400159e+02
6.376929e+01,-8.280696e+01,5.222261e+01,-1.412436e+02,1.403484e+02
6.454016e+01,-8.295505e+01,5.252829e+01,-1.414962e+02,1.406765e+02
6.531102e+01,-8.310078e+01,5.283010e+01,-1.417453e+02,1.410001e+02
6.608189e+01,-8.324423e+01,5.312806e+01,-1.419908e+02,1.413194e+02
6.685276e+01,-8.338545e+01,5.342224e+01,-1.422330e+02,1.416344e+02
6.762362e+01,-8.352451e+01,5.371267e+01,-1.424718e+02,1.419452e+02
6.839449e+01,-8.366145e+01,5.399941e+01,-1.427073e+02,1.422518e+02
6.916535e+01,-8.379635e+01,5.428249e+01,-1.429397e+02,1.425544e+02
6.993622e+01,-8.392925e+01,5.456197e+01,-1.431690e+02,1.428529e+02
7.070709e+01,-8.406020e+01,5.483790e+01,-1.433954e+02,1.431474e+02
7.147795e+01,-8.418925e+01,5.511032e+01,-1.436187e+02,1.434380e+02
7.224882e+01,-8.431645e+01,5.537928e+01,-1.438392e+02,1.437248e+02
7.301969e+01,-8.444186e+01,5.564483e+01,-1.440570e+02,1.440078e+02
7.379055e+01,-8.456550e+01,5.590701e+01,-1.442719e+02,1.442871e+02
7.456142e+01,-8.468744e+01,5.616588e+01,-1.444843e+02,1.445627e+02
7.533228e+01,-8.480770e+01,5.642147e+01,-1.446940e+02,1.448346e+02
7.610315e+01,-8.492633e+01,5.667383e+01,-1.449012e+02,1.451031e+02
7.687402e+01,-8.504337e+01,5.692301e+01,-1.451059e+02,1.453680e+02
7.764488e+01,-8.515886e+01,5.716907e+01,-1.453081e+02,1.456295e+02
7.841575e+01,-8.527283e+01,5.741203e+01,-1.455080e+02,1.458875e+02
7.918661e+01,-8.538532e+01,5.765194e+01,-1.457056e+02,1.461423e+02
