f_sv,SV_m1,SV_m1,SV_f1,SV_f2
2.423938e-01,8.997252e-02,1.033206e-01,3.442866e-01,3.706156e-01
2.531267e-01,9.535492e-02,1.095783e-01,3.284653e-01,3.567307e-01
2.643348e-01,1.006613e-01,1.155408e-01,3.136807e-01,3.434627e-01
2.760392e-01,1.055137e-01,1.208578e-01,2.997323e-01,3.308594e-01
2.882618e-01,1.094220e-01,1.250308e-01,2.864706e-01,3.190872e-01
3.010257e-01,1.118961e-01,1.274402e-01,2.738082e-01,3.083881e-01
3.143547e-01,1.126849e-01,1.275251e-01,2.616867e-01,2.989567e-01
3.282739e-01,1.120547e-01,1.251806e-01,2.499900e-01,2.906962e-01
3.428094e-01,1.108380e-01,1.212362e-01,2.384875e-01,2.829544e-01
3.579885e-01,1.100386e-01,1.175410e-01,2.269300e-01,2.745614e-01
3.738398e-01,1.102449e-01,1.161393e-01,2.152641e-01,2.643819e-01
3.903929e-01,1.114200e-01,1.178693e-01,2.037586e-01,2.520218e-01
4.076789e-01,1.132120e-01,1.219006e-01,1.929359e-01,2.380605e-01
4.257304e-01,1.153663e-01,1.268331e-01,1.834183e-01,2.236952e-01
4.445812e-01,1.179214e-01,1.318101e-01,1.758347e-01,2.102231e-01
4.642666e-01,1.212326e-01,1.367184e-01,1.708514e-01,1.987359e-01
4.848237e-01,1.259922e-01,1.419414e-01,1.693277e-01,1.900838e-01
5.062910e-01,1.333716e-01,1.480987e-01,1.726076e-01,1.849568e-01
5.287089e-01,1.453508e-01,1.557414e-01,1.829506e-01,1.838150e-01
5.521194e-01,1.647434e-01,1.643711e-01,2.033429e-01,1.859268e-01
5.765665e-01,1.888492e-01,1.689610e-01,2.288162e-01,1.854681e-01
6.020961e-01,1.805399e-01,1.558821e-01,2.107916e-01,1.666355e-01
6.287561e-01,1.284326e-01,1.221376e-01,1.365755e-01,1.241307e-01
6.565965e-01,9.240001e-02,9.176066e-02,8.034111e-02,8.143584e-02
6.856697e-01,7.816792e-02,7.759912e-02,4.900024e-02,5.166237e-02
7.160302e-01,7.333183e-02,7.326246e-02,3.195400e-02,3.322700e-02
7.477351e-01,7.115805e-02,7.161431e-02,2.585256e-02,2.609797e-02
7.808437e-01,6.971892e-02,7.039442e-02,2.555226e-02,2.596807e-02
8.154184e-01,6.856740e-02,6.920635e-02,2.652129e-02,2.691446e-02
8.515241e-01,6.761599e-02,6.809221e-02,2.807506e-02,2.836514e-02
8.892284e-01,6.686143e-02,6.714903e-02,3.013674e-02,3.032026e-02
9.286022e-01,6.631458e-02,6.644043e-02,3.275429e-02,3.285595e-02
9.697194e-01,6.594761e-02,6.595756e-02,3.603596e-02,3.608550e-02
1.012657e+00,6.547172e-02,6.541572e-02,3.996263e-02,3.998820e-02
1.057496e+00,6.338607e-02,6.331850e-02,4.308720e-02,4.311710e-02
1.104321e+00,5.707847e-02,5.703552e-02,4.022998e-02,4.027314e-02
1.153219e+00,5.216737e-02,5.210368e-02,3.490832e-02,3.493286e-02
1.204282e+00,5.162368e-02,5.152907e-02,3.524668e-02,3.524947e-02
1.257606e+00,5.199894e-02,5.189415e-02,3.834173e-02,3.833588e-02
1.313291e+00,5.223146e-02,5.212891e-02,4.204600e-02,4.203935e-02
1.371441e+00,5.224495e-02,5.215024e-02,4.584064e-02,4.583691e-02
1.432167e+00,5.209409e-02,5.200941e-02,4.962518e-02,4.962597e-02
1.495581e+00,5.182814e-02,5.175396e-02,5.338601e-02,5.339178e-02
1.561804e+00,5.147975e-02,5.141568e-02,5.712535e-02,5.713593e-02
1.630958e+00,5.106942e-02,5.101467e-02,6.084627e-02,6.086111e-02
1.703175e+00,5.060997e-02,5.056357e-02,6.454990e-02,6.456829e-02
1.778589e+00,5.010941e-02,5.007034e-02,6.823532e-02,6.825647e-02
1.857342e+00,4.957277e-02,4.954006e-02,7.189989e-02,7.192305e-02
1.939583e+00,4.900321e-02,4.897596e-02,7.553963e-02,7.556408e-02
2.025465e+00,4.840271e-02,4.838011e-02,7.914946e-02,7.917457e-02
2.115150e+00,4.777253e-02,4.775386e-02,8.272344e-02,8.274867e-02
2.208806e+00,4.711348e-02,4.709812e-02,8.625494e-02,8.627984e-02
2.306609e+00,4.642617e-02,4.641359e-02,8.973676e-02,8.976095e-02
2.408742e+00,4.571112e-02,4.570086e-02,9.316126e-02,9.318445e-02
2.515398e+00,4.496888e-02,4.496054e-02,9.652052e-02,9.654250e-02
2.626776e+00,4.420007e-02,4.419333e-02,9.980642e-02,9.982703e-02
2.743086e+00,4.340547e-02,4.340005e-02,1.030107e-01,1.030299e-01
2.864547e+00,4.258602e-02,4.258168e-02,1.061253e-01,1.061430e-01
2.991385e+00,4.174286e-02,4.173941e-02,1.091422e-01,1.091583e-01
3.123839e+00,4.087734e-02,4.087462e-02,1.120535e-01,1.120681e-01
3.262159e+00,3.999104e-02,3.998891e-02,1.148518e-01,1.148650e-01
3.406602e+00,3.908571e-02,3.908406e-02,1.175302e-01,1.175419e-01
3.557442e+00,3.816333e-02,3.816206e-02,1.200820e-01,1.200924e-01
3.714961e+00,3.722604e-02,3.722507e-02,1.225013e-01,1.225105e-01
3.879454e+00,3.627612e-02,3.627539e-02,1.247827e-01,1.247908e-01
4.051231e+00,3.531601e-02,3.531547e-02,1.269213e-01,1.269284e-01
4.230614e+00,3.434821e-02,3.434783e-02,1.289130e-01,1.289191e-01
4.417940e+00,3.337532e-02,3.337505e-02,1.307543e-01,1.307595e-01
4.613560e+00,3.239993e-02,3.239975e-02,1.324420e-01,1.324466e-01
4.817842e+00,3.142466e-02,3.142454e-02,1.339740e-01,1.339779e-01
5.031170e+00,3.045206e-02,3.045199e-02,1.353483e-01,1.353515e-01
5.253943e+00,2.948463e-02,2.948460e-02,1.365635e-01,1.365663e-01
5.486581e+00,2.852477e-02,2.852476e-02,1.376189e-01,1.376213e-01
5.729519e+00,2.757473e-02,2.757474e-02,1.385140e-01,1.385160e-01
5.983214e+00,2.663664e-02,2.663666e-02,1.392487e-01,1.392503e-01
6.248143e+00,2.571245e-02,2.571248e-02,1.398232e-01,1.398246e-01
6.524802e+00,2.480393e-02,2.480396e-02,1.402382e-01,1.402393e-01
6.813711e+00,2.391266e-02,2.391269e-02,1.404944e-01,1.404954e-01
7.115413e+00,2.304002e-02,2.304005e-02,1.405929e-01,1.405937e-01
7.430474e+00,2.218722e-02,2.218725e-02,1.405350e-01,1.405356e-01
7.759485e+00,2.135524e-02,2.135527e-02,1.403221e-01,1.403226e-01
8.103064e+00,2.054491e-02,2.054493e-02,1.399559e-01,1.399563e-01
8.461857e+00,1.975685e-02,1.975687e-02,1.394383e-01,1.394386e-01
8.836536e+00,1.899153e-02,1.899155e-02,1.387714e-01,1.387716e-01
9.227806e+00,1.824927e-02,1.824929e-02,1.379575e-01,1.379578e-01
9.636401e+00,1.753023e-02,1.753025e-02,1.369994e-01,1.369996e-01
1.006309e+01,1.683446e-02,1.683447e-02,1.358998e-01,1.359000e-01
1.050867e+01,1.616188e-02,1.616189e-02,1.346622e-01,1.346623e-01
1.097398e+01,1.551232e-02,1.551233e-02,1.332900e-01,1.332901e-01
1.145989e+01,1.488552e-02,1.488553e-02,1.317874e-01,1.317875e-01
1.196732e+01,1.428114e-02,1.428115e-02,1.301588e-01,1.301589e-01
1.249721e+01,1.369878e-02,1.369879e-02,1.284091e-01,1.284092e-01
1.305057e+01,1.313799e-02,1.313799e-02,1.265438e-01,1.265438e-01
1.362843e+01,1.259827e-02,1.259828e-02,1.245685e-01,1.245686e-01
1.423188e+01,1.207910e-02,1.207910e-02,1.224898e-01,1.224898e-01
1.486205e+01,1.157992e-02,1.157992e-02,1.203142e-01,1.203143e-01
1.552012e+01,1.110016e-02,1.110016e-02,1.180492e-01,1.180492e-01
1.620733e+01,1.063923e-02,1.063924e-02,1.157021e-01,1.157021e-01
1.692497e+01,1.019655e-02,1.019655e-02,1.132810e-01,1.132811e-01
1.767439e+01,9.771504e-03,9.771505e-03,1.107941e-01,1.107941e-01
1.845698e+01,9.363511e-03,9.363512e-03,1.082497e-01,1.082497e-01
1.927423e+01,8.971977e-03,8.971977e-03,1.056564e-01,1.056564e-01
2.012767e+01,8.596317e-03,8.596318e-03,1.030228e-01,1.030228e-01
2.101890e+01,8.235958e-03,8.235959e-03,1.003574e-01,1.003574e-01
2.194958e+01,7.890336e-03,7.890336e-03,9.766870e-02,9.766870e-02
2.292148e+01,7.558897e-03,7.558898e-03,9.496501e-02,9.496501e-02
2.393641e+01,7.241105e-03,7.241106e-03,9.225435e-02,9.225435e-02
2.499628e+01,6.936435e-03,6.936435e-03,8.954444e-02,8.954444e-02
2.610309e+01,6.644377e-03,6.644377e-03,8.684264e-02,8.684264e-02
2.725890e+01,6.364438e-03,6.364438e-03,8.415588e-02,8.415589e-02
2.846588e+01,6.096138e-03,6.096138e-03,8.149065e-02,8.149065e-02
2.972631e+01,5.839014e-03,5.839014e-03,7.885291e-02,7.885291e-02
3.104255e+01,5.592619e-03,5.592619e-03,7.624817e-02,7.624817e-02
3.241707e+01,5.356520e-03,5.356520e-03,7.368137e-02,7.368137e-02
3.385246e+01,5.130300e-03,5.130300e-03,7.115695e-02,7.115695e-02
3.535140e+01,4.913558e-03,4.913558e-03,6.867885e-02,6.867885e-02
3.691671e+01,4.705906e-03,4.705906e-03,6.625046e-02,6.625046e-02
