k,rpb,ipb,rzb,izb,rp1,ip1,rz1,iz1,rp2,ip2,rz2,iz2,rp3,ip3,rz3,iz3
2.900000e+01,-4.444533e+00,0.000000e+00,-4.165064e+00,0.000000e+00,-4.451528e+00,0.000000e+00,-4.230236e+00,0.000000e+00,-4.407645e+00,0.000000e+00,-4.212128e+00,0.000000e+00,-4.409940e+00,0.000000e+00,-4.267285e+00,0.000000e+00
3.000000e+01,-7.298805e-01,1.819134e+00,-4.060607e-01,2.293770e+00,-1.262467e+00,1.904177e+00,-3.956089e-01,2.304879e+00,-1.264767e+00,1.891524e+00,-4.454374e-01,2.298421e+00,-1.384218e+00,1.915701e+00,-4.162508e-01,2.329205e+00
3.100000e+01,-7.298805e-01,-1.819134e+00,-4.060607e-01,-2.293770e+00,-1.262467e+00,-1.904177e+00,-3.956089e-01,-2.304879e+00,-1.264767e+00,-1.891524e+00,-4.454374e-01,-2.298421e+00,-1.384218e+00,-1.915701e+00,-4.162508e-01,-2.329205e+00
3.200000e+01,-1.064519e+00,1.694783e+00,-3.357483e+00,0.000000e+00,-3.476230e+00,0.000000e+00,-3.355184e+00,0.000000e+00,-3.479451e+00,0.000000e+00,-3.360918e+00,0.000000e+00,-3.422206e+00,3.651397e-02,-3.359738e+00,0.000000e+00
3.300000e+01,-1.064519e+00,-1.694783e+00,-2.818425e+00,0.000000e+00,-3.380550e+00,0.000000e+00,-2.809093e+00,0.000000e+00,-3.383853e+00,0.000000e+00,-2.809695e+00,0.000000e+00,-3.422206e+00,-3.651397e-02,-2.802416e+00,0.000000e+00
3.400000e+01,-3.525732e+00,0.000000e+00,-2.754459e+00,0.000000e+00,-5.051153e-01,1.721719e+00,-2.752561e+00,0.000000e+00,-5.410842e-01,1.742942e+00,-2.720273e+00,0.000000e+00,-3.780551e-01,1.685449e+00,-2.718276e+00,0.000000e+00
3.500000e+01,-3.361752e+00,0.000000e+00,-1.852272e+00,3.492997e-01,-5.051153e-01,-1.721719e+00,-1.813494e+00,3.619197e-01,-5.410842e-01,-1.742942e+00,-1.830099e+00,3.530914e-01,-3.780551e-01,-1.685449e+00,-1.804230e+00,3.595318e-01
3.600000e+01,-2.781930e+00,0.000000e+00,-1.852272e+00,-3.492997e-01,-2.768759e+00,5.412564e-03,-1.813494e+00,-3.619197e-01,-2.761253e+00,0.000000e+00,-1.830099e+00,-3.530914e-01,-2.748848e+00,1.031502e-02,-1.804230e+00,-3.595318e-01
3.700000e+01,-2.766480e+00,0.000000e+00,-1.591332e+00,0.000000e+00,-2.768759e+00,-5.412564e-03,-1.591332e+00,0.000000e+00,-2.742726e+00,0.000000e+00,-1.591331e+00,0.000000e+00,-2.748848e+00,-1.031502e-02,-1.591331e+00,0.000000e+00
3.800000e+01,-1.909640e+00,0.000000e+00,-6.488487e-01,5.854484e-01,-1.893302e+00,0.000000e+00,-6.551666e-01,5.916392e-01,-1.892344e+00,0.000000e+00,-1.998187e+00,0.000000e+00,-1.869749e+00,0.000000e+00,-2.491665e-01,6.450283e-01
