f,g,p,gr,pr
1.643184e+01,-1.931608e+01,1.358431e+02,-2.061582e+01,-4.923561e+01
1.703619e+01,-1.935731e+01,1.367167e+02,-2.076725e+01,-4.756646e+01
1.766277e+01,-1.939257e+01,1.374869e+02,-2.090632e+01,-4.592766e+01
1.831239e+01,-1.942354e+01,1.381545e+02,-2.103374e+01,-4.432299e+01
1.898591e+01,-1.945179e+01,1.387215e+02,-2.115025e+01,-4.275559e+01
1.968419e+01,-1.947877e+01,1.391909e+02,-2.125660e+01,-4.122798e+01
2.040816e+01,-1.950580e+01,1.395662e+02,-2.135353e+01,-3.974210e+01
2.115876e+01,-1.953406e+01,1.398517e+02,-2.144174e+01,-3.829937e+01
2.193696e+01,-1.956462e+01,1.400521e+02,-2.152194e+01,-3.690072e+01
2.274379e+01,-1.959842e+01,1.401723e+02,-2.159477e+01,-3.554666e+01
2.358028e+01,-1.963627e+01,1.402177e+02,-2.166088e+01,-3.423735e+01
2.444755e+01,-1.967890e+01,1.401934e+02,-2.172084e+01,-3.297261e+01
2.534671e+01,-1.972691e+01,1.401050e+02,-2.177521e+01,-3.175201e+01
2.627894e+01,-1.978081e+01,1.399579e+02,-2.182450e+01,-3.057490e+01
2.724546e+01,-1.984104e+01,1.397573e+02,-2.186918e+01,-2.944045e+01
2.824752e+01,-1.990794e+01,1.395086e+02,-2.190969e+01,-2.834770e+01
2.928645e+01,-1.998178e+01,1.392169e+02,-2.194641e+01,-2.729555e+01
3.036358e+01,-2.006279e+01,1.388873e+02,-2.197972e+01,-2.628286e+01
3.148033e+01,-2.015110e+01,1.385247e+02,-2.200993e+01,-2.530841e+01
3.263815e+01,-2.024682e+01,1.381337e+02,-2.203736e+01,-2.437095e+01
3.383855e+01,-2.034999e+01,1.377188e+02,-2.206227e+01,-2.346922e+01
3.508311e+01,-2.046061e+01,1.372845e+02,-2.208490e+01,-2.260195e+01
3.637343e+01,-2.057865e+01,1.368350e+02,-2.210548e+01,-2.176787e+01
3.771122e+01,-2.070404e+01,1.363741e+02,-2.212420e+01,-2.096574e+01
3.909821e+01,-2.083666e+01,1.359056e+02,-2.214125e+01,-2.019433e+01
4.053621e+01,-2.097637e+01,1.354333e+02,-2.215678e+01,-1.945245e+01
4.202710e+01,-2.112303e+01,1.349604e+02,-2.217094e+01,-1.873894e+01
4.357282e+01,-2.127643e+01,1.344902e+02,-2.218387e+01,-1.805268e+01
4.517540e+01,-2.143638e+01,1.340258e+02,-2.219567e+01,-1.739257e+01
4.683691e+01,-2.160265e+01,1.335699e+02,-2.220646e+01,-1.675757e+01
4.855953e+01,-2.177500e+01,1.331253e+02,-2.221632e+01,-1.614666e+01
5.034551e+01,-2.195318e+01,1.326944e+02,-2.222536e+01,-1.555888e+01
5.219718e+01,-2.213691e+01,1.322796e+02,-2.223363e+01,-1.499329e+01
5.411695e+01,-2.232593e+01,1.318830e+02,-2.224121e+01,-1.444901e+01
5.610733e+01,-2.251995e+01,1.315067e+02,-2.224817e+01,-1.392516e+01
5.817091e+01,-2.271867e+01,1.311523e+02,-2.225456e+01,-1.342095e+01
6.031039e+01,-2.292180e+01,1.308218e+02,-2.226043e+01,-1.293557e+01
6.252856e+01,-2.312905e+01,1.305165e+02,-2.226582e+01,-1.246829e+01
6.482831e+01,-2.334010e+01,1.302379e+02,-2.227078e+01,-1.201838e+01
6.721264e+01,-2.355464e+01,1.299873e+02,-2.227535e+01,-1.158515e+01
6.968467e+01,-2.377238e+01,1.297659e+02,-2.227956e+01,-1.116795e+01
7.224762e+01,-2.399299e+01,1.295745e+02,-2.228344e+01,-1.076616e+01
7.490483e+01,-2.421618e+01,1.294142e+02,-2.228701e+01,-1.037916e+01
7.765977e+01,-2.444162e+01,1.292858e+02,-2.229031e+01,-1.000638e+01
8.051603e+01,-2.466902e+01,1.291898e+02,-2.229335e+01,-9.647273e+00
8.347734e+01,-2.489807e+01,1.291270e+02,-2.229616e+01,-9.301311e+00
8.654757e+01,-2.512846e+01,1.290978e+02,-2.229876e+01,-8.967990e+00
8.973072e+01,-2.535989e+01,1.291025e+02,-2.230115e+01,-8.646825e+00
9.303095e+01,-2.559206e+01,1.291415e+02,-2.230337e+01,-8.337353e+00
9.645255e+01,-2.582467e+01,1.292149e+02,-2.230542e+01,-8.039131e+00
1.000000e+02,-2.605742e+01,1.293229e+02,-2.230732e+01,-7.751733e+00
