k1,mag1,ang1,re1,im1,k2,mag2,ang2,re2,im2
9.700000e+01,5.625774e+01,1.682562e+02,-5.508013e+01,1.145045e+01,9.700000e+01,5.624882e+01,1.736259e+02,-5.590110e+01,6.244727e+00
9.800000e+01,5.625774e+01,-1.682562e+02,-5.508013e+01,-1.145045e+01,9.800000e+01,5.624882e+01,-1.736259e+02,-5.590110e+01,-6.244727e+00
9.900000e+01,9.990684e+01,1.800000e+02,-9.990684e+01,0.000000e+00,9.900000e+01,9.997313e+01,1.800000e+02,-9.997313e+01,0.000000e+00
1.000000e+02,7.812707e+00,8.758224e+01,3.295823e-01,7.805752e+00,1.000000e+02,1.137909e+01,9.291657e+01,-5.789892e-01,1.136435e+01
1.010000e+02,7.812707e+00,-8.758224e+01,3.295823e-01,-7.805752e+00,1.010000e+02,1.137909e+01,-9.291657e+01,-5.789892e-01,-1.136435e+01
1.020000e+02,7.100696e-01,1.800000e+02,-7.100696e-01,0.000000e+00,1.020000e+02,7.092935e-01,1.800000e+02,-7.092935e-01,0.000000e+00
1.030000e+02,1.850514e+00,1.800000e+02,-1.850514e+00,0.000000e+00,1.030000e+02,1.606154e+00,1.800000e+02,-1.606154e+00,0.000000e+00
1.040000e+02,3.339989e+00,1.800000e+02,-3.339989e+00,0.000000e+00,1.040000e+02,3.333998e+00,1.800000e+02,-3.333998e+00,0.000000e+00
1.050000e+02,1.413429e+01,1.125499e+02,-5.420321e+00,1.305367e+01,1.050000e+02,1.003085e+01,1.593895e+02,-9.388830e+00,3.530990e+00
1.060000e+02,1.413429e+01,-1.125499e+02,-5.420321e+00,-1.305367e+01,1.060000e+02,1.003085e+01,-1.593895e+02,-9.388830e+00,-3.530990e+00
1.070000e+02,2.219138e+01,1.800000e+02,-2.219138e+01,0.000000e+00,1.070000e+02,3.027763e+01,1.800000e+02,-3.027763e+01,0.000000e+00
1.080000e+02,5.629621e+01,1.682964e+02,-5.512582e+01,1.141958e+01,1.080000e+02,5.625988e+01,1.736424e+02,-5.591389e+01,6.229841e+00
