f1,g1,gdb1,ph1,f2,g2,gdb2,ph2
5.420744e+00,8.603765e-02,-2.130623e+01,1.512517e+02,5.420744e+00,1.076229e+00,6.380902e-01,1.777964e+02
5.440313e+00,8.520798e-02,-2.139039e+01,1.510438e+02,5.440313e+00,1.075348e+00,6.309783e-01,1.778015e+02
5.459883e+00,8.438863e-02,-2.147432e+01,1.508373e+02,5.459883e+00,1.074479e+00,6.239561e-01,1.778067e+02
5.479452e+00,8.357943e-02,-2.155801e+01,1.506322e+02,5.479452e+00,1.073621e+00,6.170224e-01,1.778120e+02
5.499022e+00,8.278025e-02,-2.164147e+01,1.504284e+02,5.499022e+00,1.072775e+00,6.101762e-01,1.778176e+02
5.518591e+00,8.199092e-02,-2.172468e+01,1.502259e+02,5.518591e+00,1.071941e+00,6.034163e-01,1.778232e+02
5.538160e+00,8.121131e-02,-2.180767e+01,1.500248e+02,5.538160e+00,1.071117e+00,5.967414e-01,1.778290e+02
5.557730e+00,8.044126e-02,-2.189042e+01,1.498249e+02,5.557730e+00,1.070305e+00,5.901506e-01,1.778350e+02
5.577299e+00,7.968065e-02,-2.197294e+01,1.496263e+02,5.577299e+00,1.069503e+00,5.836428e-01,1.778411e+02
5.596869e+00,7.892932e-02,-2.205523e+01,1.494291e+02,5.596869e+00,1.068712e+00,5.772167e-01,1.778473e+02
5.616438e+00,7.818714e-02,-2.213729e+01,1.492330e+02,5.616438e+00,1.067932e+00,5.708714e-01,1.778536e+02
5.636008e+00,7.745398e-02,-2.221913e+01,1.490383e+02,5.636008e+00,1.067162e+00,5.646058e-01,1.778601e+02
5.655577e+00,7.672970e-02,-2.230073e+01,1.488447e+02,5.655577e+00,1.066402e+00,5.584188e-01,1.778667e+02
5.675147e+00,7.601418e-02,-2.238211e+01,1.486524e+02,5.675147e+00,1.065652e+00,5.523093e-01,1.778734e+02
5.694716e+00,7.530728e-02,-2.246326e+01,1.484614e+02,5.694716e+00,1.064912e+00,5.462765e-01,1.778801e+02
5.714286e+00,7.460889e-02,-2.254419e+01,1.482715e+02,5.714286e+00,1.064182e+00,5.403192e-01,1.778870e+02
5.733855e+00,7.391887e-02,-2.262489e+01,1.480828e+02,5.733855e+00,1.063462e+00,5.344364e-01,1.778940e+02
5.753425e+00,7.323711e-02,-2.270538e+01,1.478953e+02,5.753425e+00,1.062751e+00,5.286272e-01,1.779011e+02
5.772994e+00,7.256348e-02,-2.278564e+01,1.477090e+02,5.772994e+00,1.062049e+00,5.228905e-01,1.779082e+02
5.792564e+00,7.189787e-02,-2.286568e+01,1.475239e+02,5.792564e+00,1.061356e+00,5.172255e-01,1.779155e+02
5.812133e+00,7.124017e-02,-2.294550e+01,1.473399e+02,5.812133e+00,1.060673e+00,5.116311e-01,1.779228e+02
5.831703e+00,7.059026e-02,-2.302510e+01,1.471570e+02,5.831703e+00,1.059999e+00,5.061065e-01,1.779302e+02
5.851272e+00,6.994802e-02,-2.310449e+01,1.469753e+02,5.851272e+00,1.059333e+00,5.006506e-01,1.779377e+02
5.870841e+00,6.931335e-02,-2.318366e+01,1.467947e+02,5.870841e+00,1.058676e+00,4.952626e-01,1.779452e+02
5.890411e+00,6.868614e-02,-2.326262e+01,1.466152e+02,5.890411e+00,1.058028e+00,4.899416e-01,1.779528e+02
5.909980e+00,6.806629e-02,-2.334136e+01,1.464368e+02,5.909980e+00,1.057388e+00,4.846867e-01,1.779605e+02
5.929550e+00,6.745368e-02,-2.341989e+01,1.462596e+02,5.929550e+00,1.056756e+00,4.794969e-01,1.779682e+02
5.949119e+00,6.684823e-02,-2.349820e+01,1.460833e+02,5.949119e+00,1.056133e+00,4.743715e-01,1.779760e+02
5.968689e+00,6.624982e-02,-2.357631e+01,1.459082e+02,5.968689e+00,1.055518e+00,4.693095e-01,1.779839e+02
5.988258e+00,6.565835e-02,-2.365420e+01,1.457341e+02,5.988258e+00,1.054910e+00,4.643101e-01,1.779917e+02
6.007828e+00,6.507373e-02,-2.373189e+01,1.455611e+02,6.007828e+00,1.054311e+00,4.593726e-01,1.779997e+02
6.027397e+00,6.449587e-02,-2.380936e+01,1.453892e+02,6.027397e+00,1.053719e+00,4.544959e-01,1.780077e+02
6.046967e+00,6.392466e-02,-2.388663e+01,1.452182e+02,6.046967e+00,1.053135e+00,4.496794e-01,1.780157e+02
6.066536e+00,6.336002e-02,-2.396369e+01,1.450483e+02,6.066536e+00,1.052558e+00,4.449223e-01,1.780237e+02
6.086106e+00,6.280185e-02,-2.404055e+01,1.448794e+02,6.086106e+00,1.051989e+00,4.402237e-01,1.780318e+02
6.105675e+00,6.225006e-02,-2.411720e+01,1.447116e+02,6.105675e+00,1.051427e+00,4.355828e-01,1.780400e+02
6.125245e+00,6.170457e-02,-2.419365e+01,1.445447e+02,6.125245e+00,1.050872e+00,4.309990e-01,1.780481e+02
6.144814e+00,6.116528e-02,-2.426990e+01,1.443788e+02,6.144814e+00,1.050325e+00,4.264713e-01,1.780563e+02
6.164384e+00,6.063212e-02,-2.434594e+01,1.442139e+02,6.164384e+00,1.049784e+00,4.219992e-01,1.780645e+02
6.183953e+00,6.010499e-02,-2.442179e+01,1.440500e+02,6.183953e+00,1.049250e+00,4.175817e-01,1.780728e+02
6.203523e+00,5.958382e-02,-2.449743e+01,1.438870e+02,6.203523e+00,1.048723e+00,4.132183e-01,1.780810e+02
6.223092e+00,5.906852e-02,-2.457288e+01,1.437250e+02,6.223092e+00,1.048203e+00,4.089081e-01,1.780893e+02
6.242661e+00,5.855901e-02,-2.464813e+01,1.435639e+02,6.242661e+00,1.047689e+00,4.046505e-01,1.780976e+02
6.262231e+00,5.805521e-02,-2.472318e+01,1.434038e+02,6.262231e+00,1.047182e+00,4.004448e-01,1.781059e+02
6.281800e+00,5.755705e-02,-2.479803e+01,1.432446e+02,6.281800e+00,1.046681e+00,3.962903e-01,1.781143e+02
6.301370e+00,5.706444e-02,-2.487269e+01,1.430864e+02,6.301370e+00,1.046187e+00,3.921862e-01,1.781226e+02
6.320939e+00,5.657732e-02,-2.494715e+01,1.429290e+02,6.320939e+00,1.045699e+00,3.881319e-01,1.781310e+02
6.340509e+00,5.609561e-02,-2.502142e+01,1.427726e+02,6.340509e+00,1.045217e+00,3.841268e-01,1.781394e+02
6.360078e+00,5.561923e-02,-2.509550e+01,1.426171e+02,6.360078e+00,1.044741e+00,3.801702e-01,1.781477e+02
6.379648e+00,5.514811e-02,-2.516939e+01,1.424625e+02,6.379648e+00,1.044271e+00,3.762614e-01,1.781561e+02
6.399217e+00,5.468219e-02,-2.524308e+01,1.423087e+02,6.399217e+00,1.043806e+00,3.723998e-01,1.781645e+02
6.418787e+00,5.422139e-02,-2.531659e+01,1.421558e+02,6.418787e+00,1.043348e+00,3.685848e-01,1.781729e+02
6.438356e+00,5.376564e-02,-2.538990e+01,1.420038e+02,6.438356e+00,1.042895e+00,3.648158e-01,1.781813e+02
6.457926e+00,5.331489e-02,-2.546303e+01,1.418527e+02,6.457926e+00,1.042448e+00,3.610921e-01,1.781897e+02
6.477495e+00,5.286905e-02,-2.553597e+01,1.417024e+02,6.477495e+00,1.042007e+00,3.574131e-01,1.781981e+02
6.497065e+00,5.242806e-02,-2.560872e+01,1.415530e+02,6.497065e+00,1.041571e+00,3.537783e-01,1.782065e+02
6.516634e+00,5.199187e-02,-2.568129e+01,1.414044e+02,6.516634e+00,1.041141e+00,3.501871e-01,1.782148e+02
6.536204e+00,5.156040e-02,-2.575367e+01,1.412567e+02,6.536204e+00,1.040715e+00,3.466388e-01,1.782232e+02
6.555773e+00,5.113360e-02,-2.582587e+01,1.411098e+02,6.555773e+00,1.040295e+00,3.431329e-01,1.782316e+02
6.575342e+00,5.071140e-02,-2.589789e+01,1.409637e+02,6.575342e+00,1.039881e+00,3.396689e-01,1.782400e+02
6.594912e+00,5.029374e-02,-2.596972e+01,1.408184e+02,6.594912e+00,1.039471e+00,3.362462e-01,1.782483e+02
6.614481e+00,4.988056e-02,-2.604137e+01,1.406740e+02,6.614481e+00,1.039066e+00,3.328642e-01,1.782567e+02
6.634051e+00,4.947181e-02,-2.611284e+01,1.405303e+02,6.634051e+00,1.038666e+00,3.295224e-01,1.782650e+02
6.653620e+00,4.906743e-02,-2.618413e+01,1.403874e+02,6.653620e+00,1.038272e+00,3.262202e-01,1.782733e+02
6.673190e+00,4.866735e-02,-2.625525e+01,1.402454e+02,6.673190e+00,1.037882e+00,3.229572e-01,1.782816e+02
6.692759e+00,4.827153e-02,-2.632618e+01,1.401041e+02,6.692759e+00,1.037497e+00,3.197329e-01,1.782899e+02
6.712329e+00,4.787991e-02,-2.639693e+01,1.399635e+02,6.712329e+00,1.037116e+00,3.165466e-01,1.782982e+02
6.731898e+00,4.749243e-02,-2.646751e+01,1.398238e+02,6.731898e+00,1.036740e+00,3.133980e-01,1.783065e+02
6.751468e+00,4.710904e-02,-2.653792e+01,1.396848e+02,6.751468e+00,1.036369e+00,3.102865e-01,1.783147e+02
6.771037e+00,4.672969e-02,-2.660814e+01,1.395466e+02,6.771037e+00,1.036002e+00,3.072116e-01,1.783229e+02
6.790607e+00,4.635432e-02,-2.667820e+01,1.394091e+02,6.790607e+00,1.035640e+00,3.041728e-01,1.783312e+02
