f,g,ph
7.946862e+00,-4.593906e-01,-2.316629e+01
8.018804e+00,-4.723030e-01,-2.347182e+01
8.091397e+00,-4.856830e-01,-2.378349e+01
8.164646e+00,-4.995527e-01,-2.410148e+01
8.238559e+00,-5.139351e-01,-2.442600e+01
8.313141e+00,-5.288548e-01,-2.475724e+01
8.388399e+00,-5.443377e-01,-2.509542e+01
8.464337e+00,-5.604115e-01,-2.544076e+01
8.540963e+00,-5.771053e-01,-2.579350e+01
8.618283e+00,-5.944502e-01,-2.615388e+01
8.696302e+00,-6.124791e-01,-2.652214e+01
8.775028e+00,-6.312269e-01,-2.689855e+01
8.854467e+00,-6.507309e-01,-2.728339e+01
8.934625e+00,-6.710307e-01,-2.767694e+01
9.015508e+00,-6.921685e-01,-2.807950e+01
9.097124e+00,-7.141892e-01,-2.849138e+01
9.179478e+00,-7.371406e-01,-2.891291e+01
9.262578e+00,-7.610740e-01,-2.934442e+01
9.346431e+00,-7.860438e-01,-2.978628e+01
9.431042e+00,-8.121085e-01,-3.023885e+01
9.516420e+00,-8.393303e-01,-3.070253e+01
9.602570e+00,-8.677761e-01,-3.117771e+01
9.689500e+00,-8.975173e-01,-3.166483e+01
9.777217e+00,-9.286305e-01,-3.216432e+01
9.865728e+00,-9.611980e-01,-3.267666e+01
9.955041e+00,-9.953079e-01,-3.320233e+01
1.004516e+01,-1.031055e+00,-3.374183e+01
1.013610e+01,-1.068542e+00,-3.429571e+01
1.022786e+01,-1.107877e+00,-3.486451e+01
1.032045e+01,-1.149180e+00,-3.544881e+01
1.041388e+01,-1.192577e+00,-3.604924e+01
1.050815e+01,-1.238206e+00,-3.666642e+01
1.060328e+01,-1.286216e+00,-3.730101e+01
1.069927e+01,-1.336768e+00,-3.795373e+01
1.079613e+01,-1.390034e+00,-3.862530e+01
1.089387e+01,-1.446204e+00,-3.931647e+01
1.099249e+01,-1.505482e+00,-4.002805e+01
1.109200e+01,-1.568089e+00,-4.076086e+01
1.119241e+01,-1.634266e+00,-4.151577e+01
1.129373e+01,-1.704275e+00,-4.229368e+01
1.139597e+01,-1.778401e+00,-4.309554e+01
1.149914e+01,-1.856956e+00,-4.392233e+01
1.160324e+01,-1.940277e+00,-4.477506e+01
1.170828e+01,-2.028737e+00,-4.565479e+01
1.181427e+01,-2.122741e+00,-4.656261e+01
1.192123e+01,-2.222733e+00,-4.749966e+01
1.202915e+01,-2.329201e+00,-4.846710e+01
1.213804e+01,-2.442680e+00,-4.946614e+01
1.224793e+01,-2.563760e+00,-5.049802e+01
1.235881e+01,-2.693088e+00,-5.156401e+01
1.247069e+01,-2.831382e+00,-5.266538e+01
1.258358e+01,-2.979433e+00,-5.380346e+01
1.269750e+01,-3.138118e+00,-5.497956e+01
1.281245e+01,-3.308411e+00,-5.619502e+01
1.292844e+01,-3.491395e+00,-5.745116e+01
1.304547e+01,-3.688279e+00,-5.874930e+01
1.316357e+01,-3.900414e+00,-6.009071e+01
1.328274e+01,-4.129318e+00,-6.147665e+01
1.340299e+01,-4.376698e+00,-6.290829e+01
1.352432e+01,-4.644488e+00,-6.438674e+01
1.364675e+01,-4.934884e+00,-6.591301e+01
1.377030e+01,-5.250393e+00,-6.748798e+01
1.389495e+01,-5.593901e+00,-6.911240e+01
1.402074e+01,-5.968748e+00,-7.078683e+01
1.414767e+01,-6.378834e+00,-7.251164e+01
1.427575e+01,-6.828762e+00,-7.428696e+01
1.440498e+01,-7.324021e+00,-7.611267e+01
1.453539e+01,-7.871251e+00,-7.798835e+01
1.466697e+01,-8.478608e+00,-7.991327e+01
1.479975e+01,-9.156297e+00,-8.188636e+01
1.493373e+01,-9.917372e+00,-8.390618e+01
1.506892e+01,-1.077897e+01,-8.597090e+01
1.520534e+01,-1.176432e+01,-8.807829e+01
1.534299e+01,-1.290611e+01,-9.022565e+01
1.548189e+01,-1.425272e+01,-9.240980e+01
1.562204e+01,-1.588034e+01,-9.462690e+01
1.576346e+01,-1.792005e+01,-9.687207e+01
1.590617e+01,-2.062821e+01,-9.913799e+01
1.605016e+01,-2.462642e+01,-1.014086e+02
1.619546e+01,-3.231283e+01,-1.035983e+02
1.634208e+01,-3.976484e+01,7.328193e+01
1.649002e+01,-2.699859e+01,7.134951e+01
1.663930e+01,-2.206464e+01,6.904291e+01
1.678993e+01,-1.896533e+01,6.669919e+01
1.694193e+01,-1.671457e+01,6.434499e+01
1.709530e+01,-1.495786e+01,6.198920e+01
1.725006e+01,-1.352662e+01,5.963673e+01
1.740622e+01,-1.232724e+01,5.729092e+01
1.756380e+01,-1.130223e+01,5.495420e+01
1.772280e+01,-1.041368e+01,5.262825e+01
1.788324e+01,-9.635195e+00,5.031409e+01
1.804513e+01,-8.947658e+00,4.801208e+01
1.820849e+01,-8.336734e+00,4.572196e+01
1.837333e+01,-7.791401e+00,4.344280e+01
1.853966e+01,-7.302997e+00,4.117300e+01
1.870750e+01,-6.864610e+00,3.891030e+01
1.887685e+01,-6.470652e+00,3.665172e+01
1.904774e+01,-6.116576e+00,3.439356e+01
1.922018e+01,-5.798674e+00,3.213133e+01
1.939417e+01,-5.513932e+00,2.985975e+01
1.956974e+01,-5.259933e+00,2.757260e+01
1.974690e+01,-5.034797e+00,2.526272e+01
1.992567e+01,-4.837137e+00,2.292183e+01
2.010605e+01,-4.666052e+00,2.054041e+01
2.028807e+01,-4.521134e+00,1.810753e+01
2.047173e+01,-4.402507e+00,1.561059e+01
2.065706e+01,-4.310891e+00,1.303514e+01
2.084406e+01,-4.247705e+00,1.036445e+01
2.103276e+01,-4.215223e+00,7.579230e+00
2.122317e+01,-4.216790e+00,4.657144e+00
2.141530e+01,-4.257137e+00,1.572354e+00
2.160916e+01,-4.342825e+00,-1.704981e+00
2.180479e+01,-4.482888e+00,-5.209158e+00
2.200218e+01,-4.689766e+00,-8.979229e+00
2.220136e+01,-4.980678e+00,-1.305895e+01
2.240235e+01,-5.379712e+00,-1.749602e+01
2.260515e+01,-5.921084e+00,-2.234017e+01
2.280979e+01,-6.654547e+00,-2.763927e+01
2.301628e+01,-7.655043e+00,-3.343275e+01
2.322465e+01,-9.042134e+00,-3.974161e+01
2.343490e+01,-1.102606e+01,-4.655487e+01
2.364705e+01,-1.404582e+01,-5.381221e+01
2.386112e+01,-1.938436e+01,-6.136505e+01
2.407713e+01,-3.941168e+01,-6.724249e+01
2.429509e+01,-2.116285e+01,1.023737e+02
2.451503e+01,-1.475327e+01,9.475849e+01
2.473696e+01,-1.130270e+01,8.734602e+01
2.496090e+01,-9.050693e+00,8.032128e+01
2.518687e+01,-7.463414e+00,7.375472e+01
2.541488e+01,-6.298739e+00,6.766121e+01
2.564496e+01,-5.423171e+00,6.201861e+01
2.587711e+01,-4.754734e+00,5.678175e+01
2.611138e+01,-4.239972e+00,5.189279e+01
2.634776e+01,-3.842918e+00,4.728794e+01
2.658628e+01,-3.539150e+00,4.290110e+01
2.682696e+01,-3.312371e+00,3.866514e+01
2.706982e+01,-3.152408e+00,3.451156e+01
2.731487e+01,-3.054169e+00,3.036884e+01
2.756215e+01,-3.017325e+00,2.615992e+01
2.781167e+01,-3.046733e+00,2.179861e+01
2.806344e+01,-3.153761e+00,1.718527e+01
2.831749e+01,-3.358968e+00,1.220160e+01
2.857385e+01,-3.697073e+00,6.705438e+00
2.883252e+01,-4.226071e+00,5.275419e-01
2.909353e+01,-5.044610e+00,-6.524456e+00
2.935691e+01,-6.327879e+00,-1.464410e+01
2.962267e+01,-8.415086e+00,-2.396814e+01
2.989084e+01,-1.210493e+01,-3.446110e+01
3.016144e+01,-2.064253e+01,-4.561720e+01
3.043448e+01,-2.263105e+01,1.212969e+02
3.071000e+01,-1.258064e+01,1.102915e+02
3.098801e+01,-8.486730e+00,9.988301e+01
3.126854e+01,-6.158531e+00,9.072810e+01
3.155161e+01,-4.689867e+00,8.289799e+01
3.183724e+01,-3.709023e+00,7.627421e+01
3.212546e+01,-3.025983e+00,7.067297e+01
3.241628e+01,-2.533469e+00,6.590890e+01
3.270974e+01,-2.167404e+00,6.182047e+01
3.300586e+01,-1.887953e+00,5.827564e+01
3.330465e+01,-1.669525e+00,5.516949e+01
3.360615e+01,-1.495196e+00,5.241952e+01
3.391038e+01,-1.353476e+00,4.996087e+01
3.421737e+01,-1.236384e+00,4.774229e+01
