f,m1,p1,m2,p2,m3,p3
3.234476e+00,4.699579e+01,6.533838e+01,4.689476e+01,4.278946e+01,4.652206e+01,7.784702e+00
3.383855e+00,4.834624e+01,6.346145e+01,4.798779e+01,3.965104e+01,4.706198e+01,4.105290e+00
3.540133e+00,4.990870e+01,6.065143e+01,4.918053e+01,3.527689e+01,4.758254e+01,-3.486049e-01
3.703629e+00,5.175119e+01,5.628085e+01,5.045880e+01,2.914455e+01,4.805501e+01,-5.649170e+00
3.874675e+00,5.395466e+01,4.905946e+01,5.176306e+01,2.053901e+01,4.844180e+01,-1.180955e+01
4.053621e+00,5.653110e+01,3.617025e+01,5.293827e+01,8.712147e+00,4.869998e+01,-1.874188e+01
4.240831e+00,5.894983e+01,1.246423e+01,5.369588e+01,-6.435658e+00,4.878978e+01,-2.622775e+01
4.436687e+00,5.930560e+01,-2.137777e+01,5.372983e+01,-2.329226e+01,4.868650e+01,-3.393090e+01
4.641589e+00,5.715266e+01,-4.830426e+01,5.300864e+01,-3.893821e+01,4.838966e+01,-4.146612e+01
4.855953e+00,5.450662e+01,-6.332942e+01,5.181264e+01,-5.144255e+01,4.792308e+01,-4.849546e+01
5.080218e+00,5.219020e+01,-7.166552e+01,5.044770e+01,-6.068609e+01,4.732584e+01,-5.479783e+01
5.314840e+00,5.025071e+01,-7.669137e+01,4.908981e+01,-6.737512e+01,4.664034e+01,-6.028254e+01
5.560298e+00,4.860987e+01,-7.996034e+01,4.780995e+01,-7.225003e+01,4.590376e+01,-6.496014e+01
5.817091e+00,4.719491e+01,-8.221329e+01,4.662695e+01,-7.586507e+01,4.514446e+01,-6.890050e+01
6.085745e+00,4.595211e+01,-8.383486e+01,4.553863e+01,-7.859832e+01,4.438206e+01,-7.219824e+01
6.366805e+00,4.484300e+01,-8.504114e+01,4.453576e+01,-8.070295e+01,4.362913e+01,-7.495108e+01
6.660846e+00,4.383978e+01,-8.596175e+01,4.360762e+01,-8.234996e+01,4.289310e+01,-7.724900e+01
6.968467e+00,4.292192e+01,-8.667870e+01,4.274406e+01,-8.365701e+01,4.217790e+01,-7.917005e+01
7.290295e+00,4.207397e+01,-8.724622e+01,4.193615e+01,-8.470676e+01,4.148524e+01,-8.077983e+01
7.626986e+00,4.128403e+01,-8.770147e+01,4.117620e+01,-8.555855e+01,4.081538e+01,-8.213252e+01
7.979226e+00,4.054278e+01,-8.807071e+01,4.045775e+01,-8.625580e+01,4.016777e+01,-8.327252e+01
8.347734e+00,3.984282e+01,-8.837297e+01,3.977530e+01,-8.683087e+01,3.954135e+01,-8.423606e+01
8.733262e+00,3.917816e+01,-8.862232e+01,3.912423e+01,-8.730828e+01,3.893482e+01,-8.505274e+01
9.136594e+00,3.854390e+01,-8.882941e+01,3.850061e+01,-8.770685e+01,3.834679e+01,-8.574678e+01
9.558553e+00,3.793600e+01,-8.900237e+01,3.790110e+01,-8.804123e+01,3.777583e+01,-8.633805e+01
1.000000e+01,3.735107e+01,-8.914756e+01,3.732283e+01,-8.832298e+01,3.722056e+01,-8.684289e+01
1.046183e+01,3.678627e+01,-8.926994e+01,3.676334e+01,-8.856128e+01,3.667967e+01,-8.727485e+01
1.094500e+01,3.623918e+01,-8.937350e+01,3.622051e+01,-8.876348e+01,3.615192e+01,-8.764513e+01
1.145048e+01,3.570773e+01,-8.946141e+01,3.569249e+01,-8.893557e+01,3.563616e+01,-8.796308e+01
1.197930e+01,3.519014e+01,-8.953626e+01,3.517767e+01,-8.908241e+01,3.513133e+01,-8.823654e+01
1.253254e+01,3.468487e+01,-8.960015e+01,3.467465e+01,-8.920799e+01,3.463648e+01,-8.847206e+01
1.311134e+01,3.419058e+01,-8.965480e+01,3.418219e+01,-8.931561e+01,3.415070e+01,-8.867516e+01
1.371687e+01,3.370610e+01,-8.970166e+01,3.369920e+01,-8.940801e+01,3.367320e+01,-8.885050e+01
1.435036e+01,3.323041e+01,-8.974190e+01,3.322471e+01,-8.948747e+01,3.320323e+01,-8.900205e+01
1.501311e+01,3.276258e+01,-8.977651e+01,3.275789e+01,-8.955591e+01,3.274011e+01,-8.913314e+01
1.570646e+01,3.230184e+01,-8.980632e+01,3.229797e+01,-8.961492e+01,3.228325e+01,-8.924665e+01
1.643184e+01,3.184747e+01,-8.983204e+01,3.184427e+01,-8.966587e+01,3.183207e+01,-8.934501e+01
1.719072e+01,3.139884e+01,-8.985425e+01,3.139619e+01,-8.970991e+01,3.138608e+01,-8.943030e+01
1.798465e+01,3.095539e+01,-8.987345e+01,3.095320e+01,-8.974800e+01,3.094481e+01,-8.950430e+01
1.881524e+01,3.051663e+01,-8.989006e+01,3.051481e+01,-8.978099e+01,3.050784e+01,-8.956854e+01
1.968419e+01,3.008209e+01,-8.990444e+01,3.008058e+01,-8.980958e+01,3.007480e+01,-8.962435e+01
2.059328e+01,2.965138e+01,-8.991691e+01,2.965013e+01,-8.983437e+01,2.964533e+01,-8.967285e+01
2.154435e+01,2.922415e+01,-8.992772e+01,2.922311e+01,-8.985588e+01,2.921912e+01,-8.971502e+01
2.253934e+01,2.880006e+01,-8.993710e+01,2.879920e+01,-8.987455e+01,2.879588e+01,-8.975169e+01
2.358028e+01,2.837883e+01,-8.994525e+01,2.837811e+01,-8.989077e+01,2.837535e+01,-8.978361e+01
2.466930e+01,2.796019e+01,-8.995233e+01,2.795959e+01,-8.990487e+01,2.795729e+01,-8.981138e+01
2.580862e+01,2.754390e+01,-8.995848e+01,2.754341e+01,-8.991713e+01,2.754149e+01,-8.983556e+01
2.700055e+01,2.712975e+01,-8.996383e+01,2.712934e+01,-8.992780e+01,2.712775e+01,-8.985662e+01
2.824752e+01,2.671755e+01,-8.996848e+01,2.671721e+01,-8.993707e+01,2.671588e+01,-8.987497e+01
2.955209e+01,2.630712e+01,-8.997253e+01,2.630683e+01,-8.994515e+01,2.630573e+01,-8.989095e+01
3.091691e+01,2.589830e+01,-8.997606e+01,2.589806e+01,-8.995218e+01,2.589714e+01,-8.990488e+01
3.234476e+01,2.549094e+01,-8.997913e+01,2.549074e+01,-8.995830e+01,2.548997e+01,-8.991702e+01
3.383855e+01,2.508491e+01,-8.998180e+01,2.508475e+01,-8.996364e+01,2.508411e+01,-8.992761e+01
3.540133e+01,2.468011e+01,-8.998413e+01,2.467997e+01,-8.996829e+01,2.467944e+01,-8.993684e+01
3.703629e+01,2.427641e+01,-8.998616e+01,2.427629e+01,-8.997234e+01,2.427585e+01,-8.994488e+01
3.874675e+01,2.387372e+01,-8.998792e+01,2.387362e+01,-8.997587e+01,2.387325e+01,-8.995190e+01
4.053621e+01,2.347195e+01,-8.998946e+01,2.347187e+01,-8.997895e+01,2.347156e+01,-8.995802e+01
4.240831e+01,2.307102e+01,-8.999081e+01,2.307095e+01,-8.998163e+01,2.307069e+01,-8.996337e+01
4.436687e+01,2.267085e+01,-8.999198e+01,2.267080e+01,-8.998397e+01,2.267058e+01,-8.996803e+01
4.641589e+01,2.227138e+01,-8.999300e+01,2.227134e+01,-8.998601e+01,2.227116e+01,-8.997209e+01
4.855953e+01,2.187255e+01,-8.999389e+01,2.187251e+01,-8.998779e+01,2.187236e+01,-8.997564e+01
5.080218e+01,2.147430e+01,-8.999467e+01,2.147427e+01,-8.998935e+01,2.147414e+01,-8.997873e+01
