t,f0,f1,f2,f3
2.333333e+00,5.992416e+01,5.992464e+01,5.992905e+01,5.993531e+01
2.366667e+00,5.992314e+01,5.992411e+01,5.992895e+01,5.993565e+01
2.400000e+00,5.992219e+01,5.992365e+01,5.992887e+01,5.993598e+01
2.433333e+00,5.992130e+01,5.992325e+01,5.992881e+01,5.993630e+01
2.466667e+00,5.992045e+01,5.992291e+01,5.992877e+01,5.993659e+01
2.500000e+00,5.991963e+01,5.992262e+01,5.992875e+01,5.993687e+01
2.533333e+00,5.991883e+01,5.992237e+01,5.992876e+01,5.993713e+01
2.566667e+00,5.991804e+01,5.992214e+01,5.992879e+01,5.993737e+01
2.600000e+00,5.991725e+01,5.992193e+01,5.992884e+01,5.993758e+01
2.633333e+00,5.991649e+01,5.992175e+01,5.992891e+01,5.993778e+01
2.666667e+00,5.991576e+01,5.992159e+01,5.992899e+01,5.993796e+01
2.700000e+00,5.991508e+01,5.992147e+01,5.992909e+01,5.993812e+01
2.733333e+00,5.991444e+01,5.992138e+01,5.992919e+01,5.993825e+01
2.766667e+00,5.991385e+01,5.992133e+01,5.992930e+01,5.993837e+01
2.800000e+00,5.991330e+01,5.992131e+01,5.992942e+01,5.993847e+01
2.833333e+00,5.991278e+01,5.992133e+01,5.992955e+01,5.993856e+01
2.866667e+00,5.991229e+01,5.992136e+01,5.992968e+01,5.993863e+01
2.900000e+00,5.991181e+01,5.992141e+01,5.992982e+01,5.993869e+01
2.933333e+00,5.991136e+01,5.992147e+01,5.992996e+01,5.993873e+01
2.966667e+00,5.991093e+01,5.992154e+01,5.993010e+01,5.993877e+01
3.000000e+00,5.991053e+01,5.992163e+01,5.993025e+01,5.993879e+01
3.033333e+00,5.991017e+01,5.992173e+01,5.993040e+01,5.993881e+01
3.066667e+00,5.990985e+01,5.992184e+01,5.993055e+01,5.993882e+01
3.100000e+00,5.990956e+01,5.992196e+01,5.993070e+01,5.993882e+01
3.133333e+00,5.990931e+01,5.992210e+01,5.993085e+01,5.993882e+01
3.166667e+00,5.990909e+01,5.992225e+01,5.993100e+01,5.993882e+01
3.200000e+00,5.990890e+01,5.992241e+01,5.993115e+01,5.993882e+01
3.233333e+00,5.990874e+01,5.992257e+01,5.993129e+01,5.993881e+01
3.266667e+00,5.990859e+01,5.992274e+01,5.993143e+01,5.993880e+01
3.300000e+00,5.990847e+01,5.992291e+01,5.993157e+01,5.993879e+01
3.333333e+00,5.990837e+01,5.992307e+01,5.993171e+01,5.993878e+01
3.366667e+00,5.990830e+01,5.992324e+01,5.993184e+01,5.993878e+01
3.400000e+00,5.990826e+01,5.992342e+01,5.993197e+01,5.993877e+01
3.433333e+00,5.990824e+01,5.992359e+01,5.993210e+01,5.993876e+01
3.466667e+00,5.990826e+01,5.992377e+01,5.993222e+01,5.993876e+01
3.500000e+00,5.990829e+01,5.992395e+01,5.993234e+01,5.993876e+01
3.533333e+00,5.990835e+01,5.992413e+01,5.993246e+01,5.993876e+01
3.566667e+00,5.990842e+01,5.992431e+01,5.993257e+01,5.993876e+01
3.600000e+00,5.990851e+01,5.992449e+01,5.993269e+01,5.993876e+01
3.633333e+00,5.990862e+01,5.992467e+01,5.993280e+01,5.993877e+01
3.666667e+00,5.990874e+01,5.992484e+01,5.993290e+01,5.993877e+01
3.700000e+00,5.990888e+01,5.992502e+01,5.993301e+01,5.993878e+01
3.733333e+00,5.990903e+01,5.992519e+01,5.993311e+01,5.993879e+01
3.766667e+00,5.990920e+01,5.992537e+01,5.993321e+01,5.993880e+01
3.800000e+00,5.990938e+01,5.992554e+01,5.993331e+01,5.993882e+01
3.833333e+00,5.990958e+01,5.992572e+01,5.993341e+01,5.993883e+01
3.866667e+00,5.990979e+01,5.992589e+01,5.993351e+01,5.993885e+01
3.900000e+00,5.991000e+01,5.992607e+01,5.993360e+01,5.993886e+01
3.933333e+00,5.991023e+01,5.992624e+01,5.993369e+01,5.993888e+01
3.966667e+00,5.991046e+01,5.992642e+01,5.993379e+01,5.993890e+01
4.000000e+00,5.991069e+01,5.992659e+01,5.993388e+01,5.993892e+01
4.033333e+00,5.991093e+01,5.992677e+01,5.993397e+01,5.993894e+01
4.066667e+00,5.991118e+01,5.992694e+01,5.993405e+01,5.993896e+01
4.100000e+00,5.991143e+01,5.992712e+01,5.993414e+01,5.993898e+01
4.133333e+00,5.991169e+01,5.992729e+01,5.993423e+01,5.993900e+01
4.166667e+00,5.991195e+01,5.992747e+01,5.993432e+01,5.993902e+01
4.200000e+00,5.991221e+01,5.992764e+01,5.993440e+01,5.993904e+01
4.233333e+00,5.991248e+01,5.992782e+01,5.993449e+01,5.993906e+01
4.266667e+00,5.991274e+01,5.992800e+01,5.993457e+01,5.993908e+01
4.300000e+00,5.991301e+01,5.992817e+01,5.993465e+01,5.993910e+01
4.333333e+00,5.991328e+01,5.992835e+01,5.993473e+01,5.993912e+01
4.366667e+00,5.991355e+01,5.992852e+01,5.993481e+01,5.993914e+01
4.400000e+00,5.991382e+01,5.992870e+01,5.993489e+01,5.993916e+01
4.433333e+00,5.991409e+01,5.992888e+01,5.993497e+01,5.993917e+01
4.466667e+00,5.991436e+01,5.992905e+01,5.993505e+01,5.993919e+01
4.500000e+00,5.991463e+01,5.992922e+01,5.993513e+01,5.993921e+01
4.533333e+00,5.991490e+01,5.992940e+01,5.993520e+01,5.993923e+01
4.566667e+00,5.991517e+01,5.992957e+01,5.993528e+01,5.993924e+01
4.600000e+00,5.991545e+01,5.992974e+01,5.993535e+01,5.993926e+01
4.633333e+00,5.991572e+01,5.992991e+01,5.993542e+01,5.993928e+01
4.666667e+00,5.991599e+01,5.993008e+01,5.993550e+01,5.993929e+01
4.700000e+00,5.991627e+01,5.993025e+01,5.993557e+01,5.993931e+01
4.733333e+00,5.991654e+01,5.993041e+01,5.993563e+01,5.993932e+01
4.766667e+00,5.991682e+01,5.993058e+01,5.993570e+01,5.993933e+01
4.800000e+00,5.991710e+01,5.993074e+01,5.993577e+01,5.993935e+01
4.833333e+00,5.991738e+01,5.993090e+01,5.993583e+01,5.993936e+01
4.866667e+00,5.991766e+01,5.993105e+01,5.993590e+01,5.993938e+01
4.900000e+00,5.991794e+01,5.993121e+01,5.993596e+01,5.993939e+01
4.933333e+00,5.991823e+01,5.993136e+01,5.993602e+01,5.993940e+01
4.966667e+00,5.991851e+01,5.993151e+01,5.993608e+01,5.993941e+01
5.000000e+00,5.991880e+01,5.993165e+01,5.993614e+01,5.993943e+01
5.033333e+00,5.991909e+01,5.993180e+01,5.993620e+01,5.993944e+01
5.066667e+00,5.991938e+01,5.993194e+01,5.993626e+01,5.993945e+01
5.100000e+00,5.991968e+01,5.993208e+01,5.993631e+01,5.993946e+01
5.133333e+00,5.991997e+01,5.993221e+01,5.993637e+01,5.993947e+01
5.166667e+00,5.992027e+01,5.993234e+01,5.993642e+01,5.993948e+01
5.200000e+00,5.992057e+01,5.993247e+01,5.993647e+01,5.993950e+01
5.233333e+00,5.992088e+01,5.993260e+01,5.993653e+01,5.993951e+01
5.266667e+00,5.992118e+01,5.993272e+01,5.993658e+01,5.993952e+01
5.300000e+00,5.992149e+01,5.993285e+01,5.993663e+01,5.993953e+01
5.333333e+00,5.992180e+01,5.993296e+01,5.993668e+01,5.993954e+01
5.366667e+00,5.992211e+01,5.993308e+01,5.993673e+01,5.993955e+01
5.400000e+00,5.992242e+01,5.993320e+01,5.993678e+01,5.993956e+01
5.433333e+00,5.992273e+01,5.993331e+01,5.993683e+01,5.993957e+01
5.466667e+00,5.992304e+01,5.993342e+01,5.993687e+01,5.993958e+01
5.500000e+00,5.992335e+01,5.993353e+01,5.993692e+01,5.993959e+01
5.533333e+00,5.992367e+01,5.993363e+01,5.993697e+01,5.993960e+01
5.566667e+00,5.992398e+01,5.993374e+01,5.993701e+01,5.993961e+01
5.600000e+00,5.992429e+01,5.993384e+01,5.993706e+01,5.993962e+01
5.633333e+00,5.992460e+01,5.993394e+01,5.993711e+01,5.993963e+01
5.666667e+00,5.992491e+01,5.993404e+01,5.993715e+01,5.993964e+01
5.700000e+00,5.992522e+01,5.993414e+01,5.993719e+01,5.993965e+01
5.733333e+00,5.992553e+01,5.993423e+01,5.993724e+01,5.993966e+01
5.766667e+00,5.992583e+01,5.993433e+01,5.993728e+01,5.993967e+01
5.800000e+00,5.992613e+01,5.993442e+01,5.993732e+01,5.993968e+01
5.833333e+00,5.992643e+01,5.993452e+01,5.993737e+01,5.993968e+01
5.866667e+00,5.992672e+01,5.993461e+01,5.993741e+01,5.993969e+01
5.900000e+00,5.992701e+01,5.993470e+01,5.993745e+01,5.993970e+01
5.933333e+00,5.992730e+01,5.993479e+01,5.993749e+01,5.993971e+01
5.966667e+00,5.992759e+01,5.993488e+01,5.993753e+01,5.993972e+01
6.000000e+00,5.992786e+01,5.993496e+01,5.993757e+01,5.993973e+01
6.033333e+00,5.992814e+01,5.993505e+01,5.993761e+01,5.993973e+01
6.066667e+00,5.992841e+01,5.993514e+01,5.993765e+01,5.993974e+01
6.100000e+00,5.992868e+01,5.993522e+01,5.993769e+01,5.993975e+01
6.133333e+00,5.992894e+01,5.993531e+01,5.993773e+01,5.993976e+01
6.166667e+00,5.992919e+01,5.993539e+01,5.993777e+01,5.993977e+01
6.200000e+00,5.992944e+01,5.993547e+01,5.993780e+01,5.993977e+01
6.233333e+00,5.992969e+01,5.993555e+01,5.993784e+01,5.993978e+01
