re_reec,im_reec,re_gfma,im_gfma
-4.753387e+00,1.241138e+01,-4.816588e+01,7.801164e+00
-4.729709e+00,1.263861e+01,-4.847994e+01,8.586283e+00
-3.532628e+00,1.635440e+01,-1.537926e+01,5.638470e+01
-1.993068e+00,1.832379e+01,-9.629214e+01,2.776223e-01
-4.745361e+01,6.315632e+00,-1.038127e+02,2.966926e-01
-4.749627e+01,6.438948e+00,-2.050781e+02,3.063826e+01
-4.822994e+01,7.868962e+00,-5.759242e-01,3.854866e-01
-4.851865e+01,8.620555e+00,-1.895579e+00,1.673160e-03
-9.637962e+01,2.334669e-01,-3.051661e+00,3.927022e-02
-1.037203e+02,2.525353e-01,-4.181152e-01,3.341172e+00
-5.542251e-01,4.131941e-01,-2.296866e+00,6.185991e+00
-3.051624e+00,2.697429e-02,-2.443334e+00,6.356087e+00
-4.075374e-01,3.360928e+00,-4.872955e+00,1.233117e+01
-2.298849e+00,6.188502e+00,-4.732585e+00,1.262402e+01
-2.445202e+00,6.381935e+00,-4.145042e+00,1.610741e+01
-4.761087e+00,1.239891e+01,-2.235618e+00,1.816635e+01
-4.730015e+00,1.263683e+01,-1.846358e+01,1.956227e+01
-3.544887e+00,1.637625e+01,-3.467388e+01,8.440363e-03
-1.999580e+00,1.833853e+01,-4.744649e+01,6.308983e+00
-4.745084e+01,6.305216e+00,-4.749565e+01,6.438338e+00
-4.749602e+01,6.438267e+00,-4.816176e+01,7.786590e+00
-4.823027e+01,7.860492e+00,-4.847808e+01,8.581283e+00
-4.851839e+01,8.617365e+00,-1.570528e+01,5.538052e+01
-9.638920e+01,2.240482e-01,-9.628812e+01,2.776334e-01
-1.037106e+02,2.434850e-01,-1.038174e+02,2.968054e-01
-5.539428e-01,4.116767e-01,-2.053008e+02,3.129048e+01
-3.050781e+00,2.677860e-02,-5.798049e-01,3.824958e-01
-4.093743e-01,3.365927e+00,-1.895380e+00,1.358740e-03
-2.300505e+00,6.189275e+00,-3.050674e+00,3.680433e-02
-2.457595e+00,6.395982e+00,-4.212782e-01,3.345303e+00
-4.769512e+00,1.238612e+01,-2.298859e+00,6.186903e+00
-4.730263e+00,1.263517e+01,-2.457147e+00,6.367757e+00
-3.557917e+00,1.639852e+01,-4.890046e+00,1.229720e+01
-2.006927e+00,1.835342e+01,-4.731466e+00,1.262249e+01
-4.744799e+01,6.294498e+00,-4.206731e+00,1.605879e+01
-4.749579e+01,6.437674e+00,-2.251134e+00,1.814835e+01
-4.823052e+01,7.852141e+00,-1.817461e+01,2.058343e+01
-4.851808e+01,8.614324e+00,-4.744279e+01,6.297592e+00
-9.639887e+01,2.137064e-01,-4.749541e+01,6.437677e+00
-1.037009e+02,2.336073e-01,-4.815824e+01,7.773445e+00
-5.539280e-01,4.100699e-01,-4.847658e+01,8.577037e+00
-3.049986e+00,2.624090e-02,-1.601590e+01,5.442024e+01
-4.111748e-01,3.370866e+00,-9.628383e+01,2.778214e-01
-2.301966e+00,6.189979e+00,-1.038224e+02,2.970682e-01
-2.470630e+00,6.410492e+00,-2.055085e+02,3.188720e+01
-4.778702e+00,1.237299e+01,-5.838096e-01,3.793473e-01
