xc,yc,zc
3.033333e+00,6.000000e+00,1.973422e-05
3.033333e+00,5.000000e+00,2.593630e-05
3.033333e+00,4.000000e+00,1.923817e-06
3.033333e+00,3.000000e+00,1.525610e-04
3.033333e+00,2.000000e+00,1.550918e-04
3.033333e+00,1.000000e+00,2.517247e-05

3.000000e+00,1.600000e+01,7.650495e-04
3.000000e+00,1.500000e+01,7.643174e-04
3.000000e+00,1.400000e+01,6.871508e-04
3.000000e+00,1.300000e+01,6.440978e-04
3.000000e+00,1.200000e+01,6.298780e-04
3.000000e+00,1.100000e+01,3.137941e-04
3.000000e+00,1.000000e+01,4.344861e-05
3.000000e+00,9.000000e+00,8.575117e-05
3.000000e+00,8.000000e+00,-1.797384e-04
3.000000e+00,7.000000e+00,7.107352e-06
3.000000e+00,6.000000e+00,6.202453e-06
3.000000e+00,5.000000e+00,2.138963e-05
3.000000e+00,4.000000e+00,-4.697797e-06
3.000000e+00,3.000000e+00,1.505221e-04
3.000000e+00,2.000000e+00,1.514095e-04
3.000000e+00,1.000000e+00,1.207847e-05

2.966667e+00,1.600000e+01,7.786510e-04
2.966667e+00,1.500000e+01,7.412393e-04
2.966667e+00,1.400000e+01,7.075495e-04
2.966667e+00,1.300000e+01,6.221603e-04
2.966667e+00,1.200000e+01,7.538036e-04
2.966667e+00,1.100000e+01,4.786303e-04
2.966667e+00,1.000000e+01,-2.834196e-04
2.966667e+00,9.000000e+00,-2.089405e-05
2.966667e+00,8.000000e+00,-1.946968e-04
2.966667e+00,7.000000e+00,8.567132e-06
2.966667e+00,6.000000e+00,-5.627744e-06
2.966667e+00,5.000000e+00,1.677805e-05
2.966667e+00,4.000000e+00,-7.538659e-06
2.966667e+00,3.000000e+00,1.430292e-04
2.966667e+00,2.000000e+00,1.424639e-04
2.966667e+00,1.000000e+00,-3.753586e-07

2.933333e+00,1.600000e+01,7.912038e-04
2.933333e+00,1.500000e+01,7.176675e-04
2.933333e+00,1.400000e+01,7.275659e-04
2.933333e+00,1.300000e+01,5.985207e-04
2.933333e+00,1.200000e+01,8.706913e-04
2.933333e+00,1.100000e+01,6.577457e-04
2.933333e+00,1.000000e+01,-5.507160e-04
2.933333e+00,9.000000e+00,-1.281625e-04
2.933333e+00,8.000000e+00,-1.873941e-04
2.933333e+00,7.000000e+00,1.068816e-05
2.933333e+00,6.000000e+00,-1.574195e-05
2.933333e+00,5.000000e+00,1.151213e-05
2.933333e+00,4.000000e+00,-7.599332e-06
2.933333e+00,3.000000e+00,1.294783e-04
2.933333e+00,2.000000e+00,1.277359e-04
2.933333e+00,1.000000e+00,-1.316696e-05

2.900000e+00,1.600000e+01,8.025481e-04
2.900000e+00,1.500000e+01,6.943529e-04
2.900000e+00,1.400000e+01,7.467194e-04
2.900000e+00,1.300000e+01,5.747782e-04
2.900000e+00,1.200000e+01,9.741147e-04
2.900000e+00,1.100000e+01,8.221039e-04
2.900000e+00,1.000000e+01,-7.337919e-04
2.900000e+00,9.000000e+00,-2.322251e-04
2.900000e+00,8.000000e+00,-1.595190e-04
2.900000e+00,7.000000e+00,1.199794e-05
2.900000e+00,6.000000e+00,-2.411663e-05
2.900000e+00,5.000000e+00,5.181780e-06
2.900000e+00,4.000000e+00,-6.039550e-06
2.900000e+00,3.000000e+00,1.096032e-04
2.900000e+00,2.000000e+00,1.070177e-04
2.900000e+00,1.000000e+00,-2.686071e-05

2.866667e+00,1.600000e+01,8.125353e-04
2.866667e+00,1.500000e+01,6.720493e-04
2.866667e+00,1.400000e+01,7.645545e-04
2.866667e+00,1.300000e+01,5.526120e-04
2.866667e+00,1.200000e+01,1.058102e-03
2.866667e+00,1.100000e+01,9.442781e-04
2.866667e+00,1.000000e+01,-8.134404e-04
2.866667e+00,9.000000e+00,-3.290735e-04
2.866667e+00,8.000000e+00,-1.145329e-04
2.866667e+00,7.000000e+00,1.114794e-05
2.866667e+00,6.000000e+00,-3.076934e-05
2.866667e+00,5.000000e+00,-2.462160e-06
2.866667e+00,4.000000e+00,-4.149637e-06
2.866667e+00,3.000000e+00,8.347433e-05
2.866667e+00,2.000000e+00,8.041172e-05
2.866667e+00,1.000000e+00,-4.158089e-05

2.833333e+00,1.600000e+01,8.210474e-04
2.833333e+00,1.500000e+01,6.514618e-04
2.833333e+00,1.400000e+01,7.806775e-04
2.833333e+00,1.300000e+01,5.335731e-04
2.833333e+00,1.200000e+01,1.117849e-03
2.833333e+00,1.100000e+01,1.003941e-03
2.833333e+00,1.000000e+01,-7.803666e-04
2.833333e+00,9.000000e+00,-4.149129e-04
2.833333e+00,8.000000e+00,-5.779225e-05
2.833333e+00,7.000000e+00,7.080462e-06
2.833333e+00,6.000000e+00,-3.584620e-05
2.833333e+00,5.000000e+00,-1.149463e-05
2.833333e+00,4.000000e+00,-3.258022e-06
2.833333e+00,3.000000e+00,5.163143e-05
2.833333e+00,2.000000e+00,4.845261e-05
2.833333e+00,1.000000e+00,-5.700118e-05

2.800000e+00,1.600000e+01,8.279603e-04
2.800000e+00,1.500000e+01,6.332423e-04
2.800000e+00,1.400000e+01,7.947339e-04
2.800000e+00,1.300000e+01,5.189618e-04
2.800000e+00,1.200000e+01,1.149524e-03
2.800000e+00,1.100000e+01,9.904875e-04
2.800000e+00,1.000000e+01,-6.339996e-04
2.800000e+00,9.000000e+00,-4.862302e-04
2.800000e+00,8.000000e+00,4.307022e-06
2.800000e+00,7.000000e+00,-9.290692e-07
2.800000e+00,6.000000e+00,-3.961996e-05
2.800000e+00,5.000000e+00,-2.187968e-05
2.800000e+00,4.000000e+00,-4.611593e-06
2.800000e+00,3.000000e+00,1.490491e-05
2.800000e+00,2.000000e+00,1.193852e-05
2.800000e+00,1.000000e+00,-7.245377e-05

