t,c1,c2,c3,c4
6.600000e+00,1.877633e+00,1.797993e+00,1.926585e+00,1.892365e+00
6.633333e+00,1.876926e+00,1.791530e+00,1.926356e+00,1.890624e+00
6.666667e+00,1.876978e+00,1.786749e+00,1.926091e+00,1.889157e+00
6.700000e+00,1.877764e+00,1.783720e+00,1.925778e+00,1.887974e+00
6.733333e+00,1.879276e+00,1.782530e+00,1.925405e+00,1.887091e+00
6.766667e+00,1.881464e+00,1.783128e+00,1.924963e+00,1.886498e+00
6.800000e+00,1.884299e+00,1.785483e+00,1.924450e+00,1.886191e+00
6.833333e+00,1.887769e+00,1.789584e+00,1.923862e+00,1.886172e+00
6.866667e+00,1.891821e+00,1.795291e+00,1.923209e+00,1.886424e+00
6.900000e+00,1.896422e+00,1.802494e+00,1.922502e+00,1.886936e+00
6.933333e+00,1.901546e+00,1.811098e+00,1.921757e+00,1.887707e+00
6.966667e+00,1.907130e+00,1.820908e+00,1.920996e+00,1.888718e+00
7.000000e+00,1.913118e+00,1.831757e+00,1.920244e+00,1.889960e+00
7.033333e+00,1.919454e+00,1.843487e+00,1.919531e+00,1.891428e+00
7.066667e+00,1.926049e+00,1.855878e+00,1.918885e+00,1.893105e+00
7.100000e+00,1.932813e+00,1.868729e+00,1.918333e+00,1.894977e+00
7.133333e+00,1.939645e+00,1.881839e+00,1.917906e+00,1.897033e+00
7.166667e+00,1.946430e+00,1.894985e+00,1.917622e+00,1.899248e+00
7.200000e+00,1.953048e+00,1.907956e+00,1.917499e+00,1.901597e+00
7.233333e+00,1.959360e+00,1.920525e+00,1.917552e+00,1.904053e+00
7.266667e+00,1.965242e+00,1.932490e+00,1.917782e+00,1.906578e+00
7.300000e+00,1.970566e+00,1.943652e+00,1.918186e+00,1.909132e+00
7.333333e+00,1.975185e+00,1.953781e+00,1.918758e+00,1.911668e+00
7.366667e+00,1.979000e+00,1.962725e+00,1.919477e+00,1.914137e+00
7.400000e+00,1.981910e+00,1.970318e+00,1.920321e+00,1.916487e+00
7.433333e+00,1.983796e+00,1.976368e+00,1.921264e+00,1.918657e+00
7.466667e+00,1.984620e+00,1.980791e+00,1.922272e+00,1.920598e+00
7.500000e+00,1.984340e+00,1.983493e+00,1.923314e+00,1.922260e+00
7.533333e+00,1.982903e+00,1.984346e+00,1.924355e+00,1.923584e+00
7.566667e+00,1.980350e+00,1.983366e+00,1.925363e+00,1.924540e+00
7.600000e+00,1.976717e+00,1.980548e+00,1.926310e+00,1.925096e+00
7.633333e+00,1.972035e+00,1.975866e+00,1.927166e+00,1.925217e+00
7.666667e+00,1.966424e+00,1.969441e+00,1.927914e+00,1.924903e+00
7.700000e+00,1.959994e+00,1.961371e+00,1.928540e+00,1.924156e+00
7.733333e+00,1.952856e+00,1.951744e+00,1.929030e+00,1.922976e+00
7.766667e+00,1.945183e+00,1.940775e+00,1.929384e+00,1.921401e+00
7.800000e+00,1.937134e+00,1.928655e+00,1.929606e+00,1.919467e+00
7.833333e+00,1.928876e+00,1.915579e+00,1.929699e+00,1.917211e+00
7.866667e+00,1.920593e+00,1.901818e+00,1.929676e+00,1.914697e+00
7.900000e+00,1.912454e+00,1.887625e+00,1.929552e+00,1.911985e+00
7.933333e+00,1.904639e+00,1.873264e+00,1.929339e+00,1.909137e+00
7.966667e+00,1.897299e+00,1.859017e+00,1.929056e+00,1.906224e+00
8.000000e+00,1.890575e+00,1.845147e+00,1.928716e+00,1.903310e+00
8.033333e+00,1.884619e+00,1.831941e+00,1.928334e+00,1.900461e+00
8.066667e+00,1.879517e+00,1.819632e+00,1.927920e+00,1.897734e+00
8.100000e+00,1.875354e+00,1.808448e+00,1.927483e+00,1.895180e+00
8.133333e+00,1.872226e+00,1.798640e+00,1.927028e+00,1.892850e+00
8.166667e+00,1.870142e+00,1.790352e+00,1.926559e+00,1.890775e+00
8.200000e+00,1.869123e+00,1.783732e+00,1.926075e+00,1.888982e+00
8.233333e+00,1.869199e+00,1.778955e+00,1.925575e+00,1.887499e+00
8.266667e+00,1.870316e+00,1.776052e+00,1.925055e+00,1.886329e+00
8.300000e+00,1.872435e+00,1.775068e+00,1.924514e+00,1.885477e+00
8.333333e+00,1.875529e+00,1.776076e+00,1.923948e+00,1.884952e+00
8.366667e+00,1.879499e+00,1.778992e+00,1.923357e+00,1.884737e+00
8.400000e+00,1.884267e+00,1.783759e+00,1.922742e+00,1.884826e+00
8.433333e+00,1.889764e+00,1.790339e+00,1.922109e+00,1.885215e+00
8.466667e+00,1.895869e+00,1.798557e+00,1.921465e+00,1.885884e+00
8.500000e+00,1.902481e+00,1.808266e+00,1.920821e+00,1.886821e+00
