a66,rp1,ip1,rp2,ip2,rp3,ip3
-9.000000e-02,-8.289848e-03,-7.510510e+00,-1.101472e-02,-7.573103e+00,-1.797536e-02,-3.531799e+00
-8.000000e-02,-7.375424e-03,-7.510223e+00,-9.784401e-03,-7.573429e+00,-1.597797e-02,-3.531814e+00
-7.000000e-02,-6.458478e-03,-7.509971e+00,-8.556529e-03,-7.573714e+00,-1.398062e-02,-3.531826e+00
-6.000000e-02,-5.539434e-03,-7.509754e+00,-7.330691e-03,-7.573960e+00,-1.198332e-02,-3.531837e+00
-5.000000e-02,-4.618669e-03,-7.509573e+00,-6.106519e-03,-7.574166e+00,-9.986045e-03,-3.531847e+00
-4.000000e-02,-3.696523e-03,-7.509425e+00,-4.883683e-03,-7.574335e+00,-7.988802e-03,-3.531855e+00
-3.000000e-02,-2.773303e-03,-7.509310e+00,-3.661883e-03,-7.574465e+00,-5.991582e-03,-3.531861e+00
-2.000000e-02,-1.849297e-03,-7.509228e+00,-2.440842e-03,-7.574558e+00,-3.994378e-03,-3.531865e+00
-1.000000e-02,-9.247763e-04,-7.509179e+00,-1.220298e-03,-7.574613e+00,-1.997186e-03,-3.531867e+00
0.000000e+00,-7.528214e-13,-7.509163e+00,-7.071357e-13,-7.574632e+00,-5.738535e-13,-3.531868e+00
