t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
2.833333e+00,1.128915e-04,-8.947373e-06,8.255341e-05,5.798313e-05,1.153841e-04,-5.431243e-06,8.608668e-05,6.115083e-05
2.866667e+00,9.198350e-05,1.472790e-05,8.520733e-05,5.738126e-05,9.474425e-05,1.814116e-05,8.880064e-05,6.064436e-05
2.900000e+00,6.883979e-05,4.106346e-05,8.687128e-05,5.741386e-05,7.191694e-05,4.434725e-05,9.052194e-05,6.077448e-05
2.933333e+00,4.492229e-05,6.842320e-05,8.753868e-05,5.820698e-05,4.831680e-05,7.159214e-05,9.121519e-05,6.168812e-05
2.966667e+00,2.174546e-05,9.511005e-05,8.725659e-05,5.983212e-05,2.545473e-05,9.815928e-05,9.095977e-05,6.343074e-05
3.000000e+00,7.817532e-07,1.194728e-04,8.612304e-05,6.229957e-05,4.739433e-06,1.224522e-04,8.985344e-05,6.600905e-05
3.033333e+00,-1.663042e-05,1.400100e-04,8.428119e-05,6.555581e-05,-1.240664e-05,1.428654e-04,8.802062e-05,6.938942e-05
3.066667e+00,-2.937040e-05,1.554644e-04,8.191080e-05,6.948513e-05,-2.498307e-05,1.582652e-04,8.566516e-05,7.342858e-05
3.100000e+00,-3.660532e-05,1.649021e-04,7.921722e-05,7.391548e-05,-3.218670e-05,1.677493e-04,8.298944e-05,7.795538e-05
3.133333e+00,-3.784222e-05,1.677711e-04,7.641885e-05,7.862833e-05,-3.334690e-05,1.705745e-04,8.021112e-05,8.275593e-05
3.166667e+00,-3.295896e-05,1.639361e-04,7.373360e-05,8.337182e-05,-2.851402e-05,1.668036e-04,7.755290e-05,8.756744e-05
3.200000e+00,-2.221181e-05,1.536870e-04,7.136525e-05,8.787655e-05,-1.792756e-05,1.567179e-04,7.521430e-05,9.212571e-05
3.233333e+00,-6.219458e-06,1.377206e-04,6.949063e-05,9.187294e-05,-2.037061e-06,1.408390e-04,7.338771e-05,9.614428e-05
3.266667e+00,1.407560e-05,1.170966e-04,6.824832e-05,9.510906e-05,1.807230e-05,1.203905e-04,7.219628e-05,9.938727e-05
