t,lc1,lc2,c3,c4
5.533333e+00,-2.248247e-03,-7.350867e-04,-2.425107e-03,-7.963123e-04
5.566667e+00,-2.250629e-03,-7.284350e-04,-2.425904e-03,-7.887796e-04
5.600000e+00,-2.258807e-03,-7.242282e-04,-2.431971e-03,-7.831154e-04
5.633333e+00,-2.272771e-03,-7.225996e-04,-2.445235e-03,-7.812471e-04
5.666667e+00,-2.292384e-03,-7.236241e-04,-2.463718e-03,-7.814938e-04
5.700000e+00,-2.317387e-03,-7.273164e-04,-2.487188e-03,-7.838710e-04
5.733333e+00,-2.347411e-03,-7.336302e-04,-2.517256e-03,-7.901863e-04
5.766667e+00,-2.381989e-03,-7.424603e-04,-2.551537e-03,-7.985133e-04
5.800000e+00,-2.420571e-03,-7.536463e-04,-2.589495e-03,-8.086909e-04
5.833333e+00,-2.462545e-03,-7.669784e-04,-2.632502e-03,-8.224064e-04
5.866667e+00,-2.507250e-03,-7.822041e-04,-2.677928e-03,-8.375284e-04
5.900000e+00,-2.554002e-03,-7.990370e-04,-2.725076e-03,-8.537625e-04
5.933333e+00,-2.602109e-03,-8.171654e-04,-2.775240e-03,-8.727312e-04
5.966667e+00,-2.650890e-03,-8.362625e-04,-2.825722e-03,-8.921736e-04
6.000000e+00,-2.699689e-03,-8.559952e-04,-2.875839e-03,-9.117389e-04
6.033333e+00,-2.747895e-03,-8.760340e-04,-2.926971e-03,-9.330722e-04
6.066667e+00,-2.794944e-03,-8.960610e-04,-2.976504e-03,-9.538645e-04
6.100000e+00,-2.840337e-03,-9.157778e-04,-3.023897e-03,-9.737885e-04
6.133333e+00,-2.883638e-03,-9.349113e-04,-3.070739e-03,-9.946010e-04
6.166667e+00,-2.924480e-03,-9.532191e-04,-3.114574e-03,-1.014001e-03
6.200000e+00,-2.962564e-03,-9.704923e-04,-3.155055e-03,-1.031743e-03
6.233333e+00,-2.997659e-03,-9.865577e-04,-3.194037e-03,-1.049756e-03
6.266667e+00,-3.029592e-03,-1.001278e-03,-3.229205e-03,-1.065766e-03
6.300000e+00,-3.058247e-03,-1.014550e-03,-3.260394e-03,-1.079626e-03
6.333333e+00,-3.083557e-03,-1.026305e-03,-3.289707e-03,-1.093466e-03
6.366667e+00,-3.105493e-03,-1.036502e-03,-3.314904e-03,-1.105013e-03
6.400000e+00,-3.124062e-03,-1.045126e-03,-3.335948e-03,-1.114206e-03
6.433333e+00,-3.139295e-03,-1.052185e-03,-3.355138e-03,-1.123365e-03
6.466667e+00,-3.151246e-03,-1.057701e-03,-3.370229e-03,-1.130174e-03
6.500000e+00,-3.159981e-03,-1.061711e-03,-3.381251e-03,-1.134624e-03
6.533333e+00,-3.165579e-03,-1.064262e-03,-3.390651e-03,-1.139197e-03
6.566667e+00,-3.168130e-03,-1.065402e-03,-3.396127e-03,-1.141488e-03
6.600000e+00,-3.167731e-03,-1.065186e-03,-3.397736e-03,-1.141508e-03
6.633333e+00,-3.164491e-03,-1.063668e-03,-3.398061e-03,-1.141875e-03
6.666667e+00,-3.158529e-03,-1.060903e-03,-3.394721e-03,-1.140067e-03
6.700000e+00,-3.149982e-03,-1.056945e-03,-3.387806e-03,-1.136097e-03
6.733333e+00,-3.139004e-03,-1.051849e-03,-3.380055e-03,-1.132709e-03
6.766667e+00,-3.125772e-03,-1.045672e-03,-3.369027e-03,-1.127260e-03
6.800000e+00,-3.110491e-03,-1.038475e-03,-3.354868e-03,-1.119767e-03
6.833333e+00,-3.093394e-03,-1.030326e-03,-3.340526e-03,-1.113117e-03
6.866667e+00,-3.074750e-03,-1.021301e-03,-3.323517e-03,-1.104555e-03
6.900000e+00,-3.054858e-03,-1.011487e-03,-3.304081e-03,-1.094129e-03
6.933333e+00,-3.034053e-03,-1.000983e-03,-3.285409e-03,-1.084880e-03
6.966667e+00,-3.012701e-03,-9.899063e-04,-3.264981e-03,-1.073971e-03
7.000000e+00,-2.991199e-03,-9.783865e-04,-3.243136e-03,-1.061491e-03
7.033333e+00,-2.969966e-03,-9.665711e-04,-3.223314e-03,-1.050661e-03
7.066667e+00,-2.949439e-03,-9.546227e-04,-3.202922e-03,-1.038564e-03
7.100000e+00,-2.930063e-03,-9.427181e-04,-3.182361e-03,-1.025339e-03
7.133333e+00,-2.912288e-03,-9.310458e-04,-3.165281e-03,-1.014381e-03
7.166667e+00,-2.896551e-03,-9.198031e-04,-3.148938e-03,-1.002683e-03
7.200000e+00,-2.883271e-03,-9.091917e-04,-3.133726e-03,-9.904170e-04
7.233333e+00,-2.872838e-03,-8.994137e-04,-3.123416e-03,-9.811204e-04
7.266667e+00,-2.865602e-03,-8.906665e-04,-3.115030e-03,-9.716685e-04
7.300000e+00,-2.861867e-03,-8.831379e-04,-3.108859e-03,-9.622232e-04
7.333333e+00,-2.861877e-03,-8.770004e-04,-3.108700e-03,-9.564239e-04
7.366667e+00,-2.865815e-03,-8.724069e-04,-3.111262e-03,-9.509815e-04
7.400000e+00,-2.873795e-03,-8.694857e-04,-3.116660e-03,-9.460049e-04
7.433333e+00,-2.885860e-03,-8.683368e-04,-3.128637e-03,-9.451847e-04
7.466667e+00,-2.901980e-03,-8.690286e-04,-3.143547e-03,-9.450302e-04
7.500000e+00,-2.922052e-03,-8.715955e-04,-3.161295e-03,-9.455600e-04
7.533333e+00,-2.945906e-03,-8.760365e-04,-3.185528e-03,-9.504795e-04
7.566667e+00,-2.973304e-03,-8.823154e-04,-3.212264e-03,-9.560780e-04
7.600000e+00,-3.003950e-03,-8.903606e-04,-3.241205e-03,-9.622677e-04
7.633333e+00,-3.037498e-03,-9.000679e-04,-3.275921e-03,-9.727587e-04
7.666667e+00,-3.073555e-03,-9.113023e-04,-3.312150e-03,-9.836266e-04
7.700000e+00,-3.111699e-03,-9.239019e-04,-3.349455e-03,-9.946879e-04
