f,real,imag
4.168493e-01,2.521457e-01,-3.130030e+00
4.187867e-01,2.485176e-01,-3.118093e+00
4.207241e-01,2.449116e-01,-3.106270e+00
4.226614e-01,2.413273e-01,-3.094561e+00
4.245988e-01,2.377640e-01,-3.082964e+00
4.265362e-01,2.342212e-01,-3.071475e+00
4.284736e-01,2.306985e-01,-3.060095e+00
4.304110e-01,2.271953e-01,-3.048821e+00
4.323483e-01,2.237111e-01,-3.037650e+00
4.342857e-01,2.202456e-01,-3.026583e+00
4.362231e-01,2.167982e-01,-3.015617e+00
4.381605e-01,2.133686e-01,-3.004750e+00
4.400978e-01,2.099563e-01,-2.993980e+00
4.420352e-01,2.065609e-01,-2.983308e+00
4.439726e-01,2.031821e-01,-2.972730e+00
4.459100e-01,1.998194e-01,-2.962245e+00
4.478474e-01,1.964726e-01,-2.951852e+00
4.497847e-01,1.931412e-01,-2.941550e+00
4.517221e-01,1.898250e-01,-2.931336e+00
4.536595e-01,1.865236e-01,-2.921210e+00
4.555969e-01,1.832368e-01,-2.911171e+00
4.575342e-01,1.799641e-01,-2.901216e+00
4.594716e-01,1.767054e-01,-2.891345e+00
4.614090e-01,1.734604e-01,-2.881556e+00
4.633464e-01,1.702288e-01,-2.871848e+00
4.652838e-01,1.670103e-01,-2.862220e+00
4.672211e-01,1.638047e-01,-2.852671e+00
4.691585e-01,1.606117e-01,-2.843198e+00
4.710959e-01,1.574312e-01,-2.833802e+00
4.730333e-01,1.542629e-01,-2.824481e+00
4.749706e-01,1.511067e-01,-2.815234e+00
4.769080e-01,1.479622e-01,-2.806059e+00
4.788454e-01,1.448293e-01,-2.796957e+00
4.807828e-01,1.417079e-01,-2.787924e+00
4.827202e-01,1.385977e-01,-2.778961e+00
4.846575e-01,1.354985e-01,-2.770067e+00
4.865949e-01,1.324103e-01,-2.761240e+00
4.885323e-01,1.293328e-01,-2.752479e+00
4.904697e-01,1.262659e-01,-2.743784e+00
4.924070e-01,1.232095e-01,-2.735153e+00
4.943444e-01,1.201633e-01,-2.726586e+00
4.962818e-01,1.171274e-01,-2.718081e+00
4.982192e-01,1.141015e-01,-2.709638e+00
5.001566e-01,1.110855e-01,-2.701255e+00
5.020939e-01,1.080793e-01,-2.692933e+00
5.040313e-01,1.050828e-01,-2.684669e+00
5.059687e-01,1.020959e-01,-2.676463e+00
5.079061e-01,9.911849e-02,-2.668315e+00
5.098434e-01,9.615046e-02,-2.660222e+00
5.117808e-01,9.319173e-02,-2.652186e+00
5.137182e-01,9.024221e-02,-2.644204e+00
5.156556e-01,8.730181e-02,-2.636276e+00
5.175930e-01,8.437045e-02,-2.628401e+00
5.195303e-01,8.144805e-02,-2.620579e+00
5.214677e-01,7.853455e-02,-2.612809e+00
5.234051e-01,7.562986e-02,-2.605089e+00
5.253425e-01,7.273393e-02,-2.597419e+00
5.272798e-01,6.984670e-02,-2.589799e+00
5.292172e-01,6.696810e-02,-2.582228e+00
5.311546e-01,6.409808e-02,-2.574705e+00
5.330920e-01,6.123659e-02,-2.567230e+00
5.350294e-01,5.838357e-02,-2.559801e+00
5.369667e-01,5.553899e-02,-2.552418e+00
5.389041e-01,5.270279e-02,-2.545081e+00
5.408415e-01,4.987493e-02,-2.537788e+00
5.427789e-01,4.705538e-02,-2.530540e+00
5.447162e-01,4.424409e-02,-2.523335e+00
5.466536e-01,4.144104e-02,-2.516174e+00
5.485910e-01,3.864619e-02,-2.509055e+00
