w,mag,ang,re,im
-6.859667e+04,1.457797e-05,8.999958e+01,1.062586e-10,1.457797e-05
-6.737254e+04,1.484284e-05,8.999957e+01,1.101550e-10,1.484284e-05
-6.617025e+04,1.511253e-05,8.999957e+01,1.141943e-10,1.511253e-05
-6.498941e+04,1.538712e-05,8.999956e+01,1.183817e-10,1.538712e-05
-6.382965e+04,1.566670e-05,8.999955e+01,1.227227e-10,1.566670e-05
-6.269059e+04,1.595136e-05,8.999954e+01,1.272229e-10,1.595136e-05
-6.157185e+04,1.624119e-05,8.999953e+01,1.318881e-10,1.624119e-05
-6.047308e+04,1.653628e-05,8.999953e+01,1.367243e-10,1.653628e-05
-5.939391e+04,1.683674e-05,8.999952e+01,1.417379e-10,1.683674e-05
-5.833401e+04,1.714266e-05,8.999951e+01,1.469354e-10,1.714266e-05
-5.729301e+04,1.745414e-05,8.999950e+01,1.523234e-10,1.745414e-05
-5.627060e+04,1.777127e-05,8.999949e+01,1.579090e-10,1.777127e-05
-5.526643e+04,1.809417e-05,8.999948e+01,1.636994e-10,1.809417e-05
-5.428018e+04,1.842293e-05,8.999947e+01,1.697022e-10,1.842293e-05
-5.331153e+04,1.875767e-05,8.999946e+01,1.759251e-10,1.875767e-05
-5.236016e+04,1.909849e-05,8.999945e+01,1.823761e-10,1.909849e-05
-5.142578e+04,1.944550e-05,8.999944e+01,1.890638e-10,1.944550e-05
-5.050806e+04,1.979882e-05,8.999943e+01,1.959966e-10,1.979882e-05
-4.960673e+04,2.015856e-05,8.999942e+01,2.031837e-10,2.015856e-05
-4.872148e+04,2.052483e-05,8.999941e+01,2.106343e-10,2.052483e-05
-4.785202e+04,2.089776e-05,8.999940e+01,2.183582e-10,2.089776e-05
-4.699808e+04,2.127746e-05,8.999939e+01,2.263652e-10,2.127746e-05
-4.615939e+04,2.166407e-05,8.999938e+01,2.346659e-10,2.166407e-05
-4.533565e+04,2.205769e-05,8.999937e+01,2.432709e-10,2.205769e-05
-4.452662e+04,2.245847e-05,8.999936e+01,2.521915e-10,2.245847e-05
-4.373203e+04,2.286654e-05,8.999934e+01,2.614392e-10,2.286654e-05
-4.295161e+04,2.328201e-05,8.999933e+01,2.710261e-10,2.328201e-05
-4.218513e+04,2.370504e-05,8.999932e+01,2.809644e-10,2.370504e-05
-4.143232e+04,2.413575e-05,8.999931e+01,2.912672e-10,2.413575e-05
-4.069294e+04,2.457429e-05,8.999930e+01,3.019478e-10,2.457429e-05
-3.996676e+04,2.502079e-05,8.999928e+01,3.130200e-10,2.502079e-05
-3.925354e+04,2.547541e-05,8.999927e+01,3.244983e-10,2.547541e-05
-3.855304e+04,2.593829e-05,8.999926e+01,3.363974e-10,2.593829e-05
-3.786505e+04,2.640958e-05,8.999924e+01,3.487329e-10,2.640958e-05
-3.718933e+04,2.688943e-05,8.999923e+01,3.615208e-10,2.688943e-05
-3.652567e+04,2.737800e-05,8.999922e+01,3.747775e-10,2.737800e-05
-3.587386e+04,2.787545e-05,8.999920e+01,3.885204e-10,2.787545e-05
-3.523368e+04,2.838194e-05,8.999919e+01,4.027672e-10,2.838194e-05
-3.460492e+04,2.889763e-05,8.999917e+01,4.175364e-10,2.889763e-05
-3.398738e+04,2.942268e-05,8.999916e+01,4.328472e-10,2.942268e-05
-3.338086e+04,2.995728e-05,8.999914e+01,4.487194e-10,2.995728e-05
-3.278517e+04,3.050160e-05,8.999913e+01,4.651737e-10,3.050160e-05
-3.220010e+04,3.105580e-05,8.999911e+01,4.822313e-10,3.105580e-05
-3.162548e+04,3.162007e-05,8.999909e+01,4.999145e-10,3.162007e-05
-3.106111e+04,3.219460e-05,8.999908e+01,5.182460e-10,3.219460e-05
-3.050682e+04,3.277956e-05,8.999906e+01,5.372498e-10,3.277956e-05
-2.996241e+04,3.337515e-05,8.999904e+01,5.569504e-10,3.337515e-05
-2.942772e+04,3.398157e-05,8.999903e+01,5.773734e-10,3.398157e-05
-2.890257e+04,3.459900e-05,8.999901e+01,5.985454e-10,3.459900e-05
-2.838679e+04,3.522765e-05,8.999899e+01,6.204937e-10,3.522765e-05
-2.788022e+04,3.586772e-05,8.999897e+01,6.432468e-10,3.586772e-05
-2.738269e+04,3.651943e-05,8.999895e+01,6.668342e-10,3.651943e-05
-2.689403e+04,3.718297e-05,8.999893e+01,6.912866e-10,3.718297e-05
-2.641410e+04,3.785857e-05,8.999892e+01,7.166357e-10,3.785857e-05
-2.594273e+04,3.854645e-05,8.999890e+01,7.429143e-10,3.854645e-05
-2.547977e+04,3.924682e-05,8.999888e+01,7.701565e-10,3.924682e-05
-2.502507e+04,3.995992e-05,8.999886e+01,7.983977e-10,3.995992e-05
-2.457849e+04,4.068598e-05,8.999883e+01,8.276744e-10,4.068598e-05
-2.413988e+04,4.142523e-05,8.999881e+01,8.580247e-10,4.142523e-05
-2.370909e+04,4.217791e-05,8.999879e+01,8.894880e-10,4.217791e-05
-2.328600e+04,4.294426e-05,8.999877e+01,9.221050e-10,4.294426e-05
-2.287045e+04,4.372455e-05,8.999875e+01,9.559180e-10,4.372455e-05
-2.246232e+04,4.451900e-05,8.999872e+01,9.909709e-10,4.451900e-05
-2.206147e+04,4.532790e-05,8.999870e+01,1.027309e-09,4.532790e-05
-2.166777e+04,4.615149e-05,8.999868e+01,1.064980e-09,4.615149e-05
-2.128110e+04,4.699004e-05,8.999865e+01,1.104032e-09,4.699004e-05
-2.090133e+04,4.784384e-05,8.999863e+01,1.144516e-09,4.784384e-05
-2.052834e+04,4.871314e-05,8.999860e+01,1.186485e-09,4.871314e-05
-2.016201e+04,4.959824e-05,8.999858e+01,1.229993e-09,4.959824e-05
-1.980221e+04,5.049942e-05,8.999855e+01,1.275096e-09,5.049942e-05
