f,Ts,Td
1.890000e+00,7.617478e-01,-3.108689e-02
1.900000e+00,7.572822e-01,-3.081206e-02
1.910000e+00,7.528572e-01,-3.053344e-02
1.920000e+00,7.484747e-01,-3.025120e-02
1.930000e+00,7.441368e-01,-2.996552e-02
1.940000e+00,7.398454e-01,-2.967658e-02
1.950000e+00,7.356023e-01,-2.938455e-02
1.960000e+00,7.314092e-01,-2.908964e-02
1.970000e+00,7.272679e-01,-2.879201e-02
1.980000e+00,7.231801e-01,-2.849185e-02
1.990000e+00,7.191472e-01,-2.818935e-02
2.000000e+00,7.151707e-01,-2.788470e-02
2.010000e+00,7.112520e-01,-2.757806e-02
2.020000e+00,7.073925e-01,-2.726964e-02
2.030000e+00,7.035934e-01,-2.695960e-02
2.040000e+00,6.998558e-01,-2.664813e-02
2.050000e+00,6.961808e-01,-2.633541e-02
2.060000e+00,6.925695e-01,-2.602161e-02
2.070000e+00,6.890227e-01,-2.570691e-02
2.080000e+00,6.855413e-01,-2.539148e-02
2.090000e+00,6.821260e-01,-2.507548e-02
2.100000e+00,6.787776e-01,-2.475909e-02
2.110000e+00,6.754966e-01,-2.444247e-02
2.120000e+00,6.722835e-01,-2.412577e-02
2.130000e+00,6.691388e-01,-2.380915e-02
2.140000e+00,6.660628e-01,-2.349278e-02
2.150000e+00,6.630560e-01,-2.317678e-02
2.160000e+00,6.601184e-01,-2.286132e-02
2.170000e+00,6.572502e-01,-2.254654e-02
2.180000e+00,6.544516e-01,-2.223256e-02
2.190000e+00,6.517225e-01,-2.191953e-02
2.200000e+00,6.490629e-01,-2.160757e-02
2.210000e+00,6.464728e-01,-2.129680e-02
2.220000e+00,6.439518e-01,-2.098736e-02
2.230000e+00,6.414998e-01,-2.067936e-02
2.240000e+00,6.391166e-01,-2.037290e-02
2.250000e+00,6.368017e-01,-2.006809e-02
2.260000e+00,6.345548e-01,-1.976504e-02
2.270000e+00,6.323754e-01,-1.946385e-02
2.280000e+00,6.302631e-01,-1.916461e-02
2.290000e+00,6.282173e-01,-1.886741e-02
2.300000e+00,6.262375e-01,-1.857234e-02
2.310000e+00,6.243229e-01,-1.827947e-02
2.320000e+00,6.224731e-01,-1.798888e-02
2.330000e+00,6.206872e-01,-1.770065e-02
2.340000e+00,6.189646e-01,-1.741485e-02
2.350000e+00,6.173045e-01,-1.713153e-02
2.360000e+00,6.157061e-01,-1.685077e-02
2.370000e+00,6.141687e-01,-1.657260e-02
2.380000e+00,6.126913e-01,-1.629710e-02
2.390000e+00,6.112731e-01,-1.602430e-02
2.400000e+00,6.099133e-01,-1.575425e-02
2.410000e+00,6.086109e-01,-1.548699e-02
2.420000e+00,6.073651e-01,-1.522256e-02
2.430000e+00,6.061748e-01,-1.496099e-02
2.440000e+00,6.050393e-01,-1.470231e-02
2.450000e+00,6.039574e-01,-1.444656e-02
2.460000e+00,6.029283e-01,-1.419374e-02
2.470000e+00,6.019509e-01,-1.394390e-02
2.480000e+00,6.010244e-01,-1.369703e-02
2.490000e+00,6.001476e-01,-1.345317e-02
2.500000e+00,5.993197e-01,-1.321232e-02
2.510000e+00,5.985397e-01,-1.297448e-02
2.520000e+00,5.978064e-01,-1.273968e-02
2.530000e+00,5.971191e-01,-1.250791e-02
2.540000e+00,5.964766e-01,-1.227917e-02
2.550000e+00,5.958780e-01,-1.205347e-02
